EnrollmentID,StudentID,LeadID,CourseID,ManagerID,EnrollmentDate,CohortID,CourseStartDate,ExpectedEndDate,ActualCompletionDate,EnrollmentStatus,AgreedPrice,DiscountPercent,Currency,PaymentPlan,AcquisitionSource,CancellationDate,CancellationReason,CertificateEligible,CertificateIssuedDate,LateEnrollment
ENR000027,STU000027,LEAD0000840,CRS0012,MGR0006,2024-01-16,COH00152,2024-02-14,2024-07-24,2024-08-05,Completed,526.15,30,USD,Full,direct,,,True,2024-08-14,False
ENR000028,STU000028,LEAD0000686,CRS0006,MGR0008,2024-01-15,COH00067,2024-03-02,2024-05-11,2024-05-13,Completed,36195.0,5,UAH,Installments,organic,,,True,2024-05-26,False
ENR000029,STU000029,LEAD0000913,CRS0008,MGR0008,2024-01-15,COH00091,2024-02-11,2024-03-03,2024-03-03,Completed,0.0,0,UAH,Free,organic,,,False,,False
ENR000030,STU000030,LEAD0000404,CRS0008,MGR0002,2024-01-10,COH00090,2024-01-14,2024-02-04,,Dropped,0.0,0,EUR,Free,meta,,,False,,False
ENR000031,STU000031,LEAD0000965,CRS0015,MGR0004,2024-01-18,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,linkedin,,,False,,False
ENR000032,STU000032,LEAD0000043,CRS0007,MGR0005,2024-01-19,COH00080,2024-03-12,2024-09-17,,Dropped,730.4,25,EUR,Full,linkedin,,,False,,False
ENR000033,STU000033,LEAD0000796,CRS0015,MGR0007,2024-01-11,COH00197,2024-01-15,2024-02-05,2024-02-08,Completed,0.0,0,UAH,Free,direct,,,False,,False
ENR000034,STU000034,LEAD0000425,CRS0015,MGR0002,2024-01-17,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,referral,,,False,,False
ENR000035,STU000035,LEAD0000506,CRS0007,MGR0005,2024-01-14,COH00080,2024-03-12,2024-09-17,2024-09-14,Completed,31575.0,25,UAH,Full,direct,,,True,,False
ENR000036,STU000036,LEAD0000746,CRS0008,MGR0007,2024-01-19,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,USD,Free,email,,,False,,False
ENR000037,STU000037,LEAD0001089,CRS0015,MGR0008,2024-01-12,COH00197,2024-01-15,2024-02-05,,Dropped,0.0,0,UAH,Free,instagram,,,False,,False
ENR000038,STU000038,LEAD0000533,CRS0012,MGR0008,2024-01-21,COH00152,2024-02-14,2024-07-24,,Dropped,753.6,0,EUR,Full,meta,,,False,,False
ENR000039,STU000039,LEAD0001054,CRS0005,MGR0007,2024-01-18,COH00052,2024-02-20,2024-04-02,,Cancelled,27170.0,5,UAH,Full,meta,2024-02-16,Financial,False,,False
ENR000040,STU000040,LEAD0000578,CRS0012,MGR0002,2024-01-20,COH00152,2024-02-14,2024-07-24,2024-07-30,Completed,24300.0,25,UAH,Installments,email,,,True,2024-08-17,False
ENR000041,STU000041,LEAD0000211,CRS0014,MGR0006,2024-01-18,COH00185,2024-03-13,2024-07-03,2024-06-27,Completed,343.11,30,USD,Full,chatgpt.com,,,True,2024-07-05,False
ENR000042,STU000042,LEAD0000099,CRS0015,MGR0008,2024-01-17,COH00198,2024-02-12,2024-03-04,2024-03-10,Completed,0.0,0,UAH,Free,organic,,,False,,False
ENR000043,STU000043,LEAD0000307,CRS0015,MGR0007,2024-01-20,COH00198,2024-02-12,2024-03-04,2024-03-10,Completed,0.0,0,UAH,Free,telegram,,,False,,False
ENR000044,STU000044,LEAD0000935,CRS0014,MGR0002,2024-01-20,COH00185,2024-03-13,2024-07-03,,Dropped,20520.0,5,UAH,Installments,email,,,False,,False
ENR000045,STU000045,LEAD0000998,CRS0015,MGR0006,2024-01-16,COH00198,2024-02-12,2024-03-04,2024-03-14,Completed,0.0,0,CZK,Free,google,,,False,,False
ENR000046,STU000046,LEAD0000359,CRS0006,MGR0004,2024-01-14,COH00067,2024-03-02,2024-05-11,2024-05-07,Completed,761.62,15,USD,Installments,organic,,,True,2024-05-24,False
ENR000047,STU000047,LEAD0000742,CRS0014,MGR0005,2024-01-23,COH00185,2024-03-13,2024-07-03,,Dropped,15120.0,30,UAH,Full,meta,,,False,,False
ENR000048,STU000048,LEAD0000092,CRS0008,MGR0004,2024-01-20,COH00091,2024-02-11,2024-03-03,2024-03-09,Completed,0.0,0,UAH,Free,direct,,,False,,False
ENR000049,STU000049,LEAD0000423,CRS0008,MGR0006,2024-01-16,COH00091,2024-02-11,2024-03-03,2024-02-29,Completed,0.0,0,UAH,Free,google,,,False,,False
ENR000050,STU000050,LEAD0001047,CRS0008,MGR0008,2024-01-22,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,instagram,,,False,,False
ENR000051,STU000051,LEAD0000171,CRS0015,MGR0002,2024-01-18,COH00198,2024-02-12,2024-03-04,2024-02-29,Completed,0.0,0,UAH,Free,referral,,,False,,False
ENR000052,STU000052,LEAD0000717,CRS0008,MGR0005,2024-01-25,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,email,,,False,,False
ENR000053,STU000053,LEAD0000555,CRS0015,MGR0008,2024-01-22,COH00198,2024-02-12,2024-03-04,2024-03-01,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000054,STU000054,LEAD0000452,CRS0011,MGR0002,2024-01-17,COH00140,2024-03-11,2024-06-10,,Dropped,26125.0,5,UAH,Full,organic,,,False,,False
ENR000055,STU000055,LEAD0000459,CRS0008,MGR0004,2024-01-22,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,meta,,,False,,False
ENR000056,STU000056,LEAD0000777,CRS0008,MGR0004,2024-01-21,COH00091,2024-02-11,2024-03-03,2024-03-10,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000057,STU000057,LEAD0000702,CRS0002,MGR0006,2024-01-21,COH00015,2024-02-29,2024-05-02,,Dropped,34960.0,5,UAH,Installments,chatgpt.com,,,False,,False
ENR000058,STU000058,LEAD0000609,CRS0008,MGR0008,2024-01-13,COH00090,2024-01-14,2024-02-04,,Dropped,0.0,0,UAH,Free,google,,,False,,False
ENR000059,STU000059,LEAD0000710,CRS0005,MGR0002,2024-01-19,COH00052,2024-02-20,2024-04-02,,Cancelled,27170.0,5,UAH,Full,telegram,2024-01-30,Job change,False,,False
ENR000060,STU000060,LEAD0000831,CRS0012,MGR0003,2024-01-23,COH00152,2024-02-14,2024-07-24,,Dropped,2691.27,15,PLN,Installments,organic,,,False,,False
ENR000061,STU000061,LEAD0000787,CRS0002,MGR0002,2024-01-20,COH00015,2024-02-29,2024-05-02,2024-04-30,Completed,33120.0,10,UAH,Installments,google,,,True,2024-05-18,False
ENR000062,STU000062,LEAD0000024,CRS0012,MGR0003,2024-01-16,COH00152,2024-02-14,2024-07-24,2024-07-28,Completed,22680.0,30,UAH,Full,meta,,,True,,False
ENR000063,STU000063,LEAD0000221,CRS0008,MGR0004,2024-01-25,COH00091,2024-02-11,2024-03-03,2024-03-01,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000064,STU000064,LEAD0001301,CRS0001,MGR0008,2024-01-22,COH00002,2024-03-13,2024-06-05,2024-06-18,Completed,33840.0,10,UAH,Installments,organic,,,True,2024-06-24,False
ENR000065,STU000065,LEAD0001013,CRS0012,MGR0008,2024-01-19,COH00152,2024-02-14,2024-07-24,2024-08-04,Completed,32400.0,0,UAH,Full,google,,,True,2024-08-17,False
ENR000066,STU000066,LEAD0001487,CRS0005,MGR0004,2024-01-20,COH00052,2024-02-20,2024-04-02,,Cancelled,28600.0,0,UAH,Installments,organic,2024-02-04,Financial,False,,False
ENR000067,STU000067,LEAD0000310,CRS0005,MGR0007,2024-01-14,COH00052,2024-02-20,2024-04-02,2024-04-06,Completed,21450.0,25,UAH,Full,meta,,,True,2024-04-25,False
ENR000068,STU000068,LEAD0000114,CRS0015,MGR0008,2024-01-23,COH00198,2024-02-12,2024-03-04,2024-03-03,Completed,0.0,0,UAH,Free,instagram,,,False,,False
ENR000069,STU000069,LEAD0000577,CRS0013,MGR0007,2024-01-23,COH00170,2024-02-26,2024-05-06,2024-05-02,Completed,411.07,30,USD,Installments,dou,,,True,,False
ENR000070,STU000070,LEAD0000146,CRS0005,MGR0004,2024-01-23,COH00052,2024-02-20,2024-04-02,,Dropped,2794.85,0,PLN,Full,google,,,False,,False
ENR000071,STU000071,LEAD0000721,CRS0005,MGR0004,2024-01-20,COH00052,2024-02-20,2024-04-02,2024-04-06,Completed,22880.0,20,UAH,Installments,dou,,,True,2024-04-10,False
ENR000072,STU000072,LEAD0000077,CRS0012,MGR0002,2024-01-16,COH00152,2024-02-14,2024-07-24,,Cancelled,2887.99,10,PLN,Full,organic,2024-02-08,Changed goals,False,,False
ENR000073,STU000073,LEAD0001151,CRS0001,MGR0002,2024-01-15,COH00001,2024-01-17,2024-04-10,2024-04-10,Completed,35720.0,5,UAH,Full,google,,,True,2024-04-18,False
ENR000074,STU000074,LEAD0000042,CRS0008,MGR0007,2024-01-22,COH00091,2024-02-11,2024-03-03,2024-03-10,Completed,0.0,0,UAH,Free,telegram,,,False,,False
ENR000075,STU000075,LEAD0000179,CRS0008,MGR0007,2024-01-20,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,PLN,Free,meta,,,False,,False
ENR000076,STU000076,LEAD0000668,CRS0014,MGR0007,2024-01-24,COH00185,2024-03-13,2024-07-03,,Dropped,21600.0,0,UAH,Full,meta,,,False,,False
ENR000077,STU000077,LEAD0000396,CRS0011,MGR0008,2024-01-19,COH00140,2024-03-11,2024-06-10,2024-06-23,Completed,20625.0,25,UAH,Full,meta,,,True,2024-07-01,False
ENR000078,STU000078,LEAD0001577,CRS0005,MGR0008,2024-01-23,COH00052,2024-02-20,2024-04-02,2024-04-11,Completed,2794.85,0,PLN,Installments,google,,,True,,False
ENR000079,STU000079,LEAD0001566,CRS0002,MGR0003,2024-01-27,COH00015,2024-02-29,2024-05-02,,Dropped,27600.0,25,UAH,Installments,meta,,,False,,False
ENR000080,STU000080,LEAD0001258,CRS0005,MGR0008,2024-01-15,COH00052,2024-02-20,2024-04-02,,Dropped,27170.0,5,UAH,Full,telegram,,,False,,False
ENR000081,STU000081,LEAD0001303,CRS0012,MGR0004,2024-01-21,COH00152,2024-02-14,2024-07-24,2024-07-22,Completed,32400.0,0,UAH,Installments,organic,,,True,2024-08-07,False
ENR000082,STU000082,LEAD0000194,CRS0017,MGR0008,2024-01-28,COH00232,2024-03-23,2024-09-07,,Dropped,586.32,10,EUR,Installments,google,,,False,,False
ENR000083,STU000083,LEAD0000505,CRS0012,MGR0006,2024-01-16,COH00152,2024-02-14,2024-07-24,,Cancelled,3208.87,0,PLN,Full,google,2024-03-12,Job change,False,,False
ENR000084,STU000084,LEAD0000581,CRS0001,MGR0002,2024-01-15,COH00001,2024-01-17,2024-04-10,2024-04-09,Completed,33840.0,10,UAH,Full,organic,,,True,2024-04-28,False
ENR000085,STU000085,LEAD0000048,CRS0008,MGR0006,2024-01-27,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,USD,Free,linkedin,,,False,,False
ENR000086,STU000086,LEAD0000261,CRS0011,MGR0006,2024-01-26,COH00140,2024-03-11,2024-06-10,2024-06-13,Completed,20625.0,25,UAH,Full,google,,,True,,False
ENR000087,STU000087,LEAD0000300,CRS0015,MGR0008,2024-01-15,COH00198,2024-02-12,2024-03-04,2024-03-15,Completed,0.0,0,PLN,Free,organic,,,False,,False
ENR000088,STU000088,LEAD0001064,CRS0005,MGR0008,2024-01-17,COH00052,2024-02-20,2024-04-02,2024-04-02,Completed,28600.0,0,UAH,Full,google,,,True,2024-04-04,False
ENR000089,STU000089,LEAD0000659,CRS0015,MGR0008,2024-01-17,COH00198,2024-02-12,2024-03-04,2024-03-17,Completed,0.0,0,EUR,Free,organic,,,False,,False
ENR000090,STU000090,LEAD0000545,CRS0015,MGR0006,2024-01-25,COH00198,2024-02-12,2024-03-04,2024-03-16,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000091,STU000091,LEAD0001306,CRS0008,MGR0003,2024-01-27,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,organic,,,False,,False
ENR000092,STU000092,LEAD0000918,CRS0014,MGR0003,2024-01-15,COH00184,2024-01-17,2024-05-08,,Cancelled,2138.3,0,PLN,Full,perplexity,2024-03-07,Financial,False,,False
ENR000093,STU000093,LEAD0000313,CRS0006,MGR0004,2024-01-25,COH00067,2024-03-02,2024-05-11,2024-05-04,Completed,38100.0,0,UAH,Installments,telegram,,,True,2024-05-09,False
ENR000094,STU000094,LEAD0001110,CRS0001,MGR0008,2024-01-27,COH00002,2024-03-13,2024-06-05,,Dropped,37600.0,0,UAH,Installments,instagram,,,False,,False
ENR000095,STU000095,LEAD0000596,CRS0005,MGR0004,2024-01-27,COH00052,2024-02-20,2024-04-02,2024-04-14,Completed,24310.0,15,UAH,Full,direct,,,True,2024-04-16,False
ENR000096,STU000096,LEAD0001184,CRS0015,MGR0002,2024-01-17,COH00198,2024-02-12,2024-03-04,2024-03-15,Completed,0.0,0,UAH,Free,telegram,,,False,,False
ENR000097,STU000097,LEAD0001657,CRS0012,MGR0003,2024-01-21,COH00152,2024-02-14,2024-07-24,2024-07-20,Completed,25920.0,20,UAH,Full,google,,,True,2024-07-22,False
ENR000098,STU000098,LEAD0000422,CRS0015,MGR0008,2024-01-26,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,EUR,Free,telegram,,,False,,False
ENR000099,STU000099,LEAD0000126,CRS0015,MGR0004,2024-01-19,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,meta,,,False,,False
ENR000100,STU000100,LEAD0000683,CRS0013,MGR0005,2024-01-23,COH00170,2024-02-26,2024-05-06,,Dropped,20800.0,20,UAH,Full,google,,,False,,False
ENR000101,STU000101,LEAD0001377,CRS0005,MGR0007,2024-01-19,COH00052,2024-02-20,2024-04-02,2024-04-02,Completed,562.34,15,EUR,Full,email,,,True,2024-04-08,False
ENR000102,STU000102,LEAD0001195,CRS0011,MGR0007,2024-01-17,COH00140,2024-03-11,2024-06-10,2024-06-06,Completed,478.09,25,EUR,Installments,organic,,,True,2024-06-25,False
ENR000103,STU000103,LEAD0000180,CRS0015,MGR0005,2024-01-24,COH00198,2024-02-12,2024-03-04,2024-03-04,Completed,0.0,0,UAH,Free,referral,,,False,,False
ENR000104,STU000104,LEAD0000866,CRS0012,MGR0002,2024-01-27,COH00152,2024-02-14,2024-07-24,2024-07-23,Completed,22680.0,30,UAH,Full,email,,,True,2024-08-02,False
ENR000105,STU000105,LEAD0001246,CRS0008,MGR0004,2024-01-17,COH00091,2024-02-11,2024-03-03,2024-03-16,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000106,STU000106,LEAD0000580,CRS0015,MGR0008,2024-01-28,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,USD,Free,dou,,,False,,False
ENR000107,STU000107,LEAD0001180,CRS0008,MGR0002,2024-01-26,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,dou,,,False,,False
ENR000108,STU000108,LEAD0000857,CRS0001,MGR0002,2024-01-19,COH00002,2024-03-13,2024-06-05,2024-05-30,Completed,739.3,15,EUR,Full,meta,,,True,2024-06-07,False
ENR000109,STU000109,LEAD0001776,CRS0006,MGR0002,2024-01-25,COH00067,2024-03-02,2024-05-11,2024-05-24,Completed,812.63,5,USD,Installments,referral,,,True,2024-05-28,False
ENR000110,STU000110,LEAD0000370,CRS0012,MGR0007,2024-01-21,COH00152,2024-02-14,2024-07-24,,Dropped,30780.0,5,UAH,Installments,telegram,,,False,,False
ENR000111,STU000111,LEAD0001488,CRS0015,MGR0002,2024-01-20,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,chatgpt.com,,,False,,False
ENR000112,STU000112,LEAD0000981,CRS0015,MGR0002,2024-01-20,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,instagram,,,False,,False
ENR000113,STU000113,LEAD0001696,CRS0015,MGR0004,2024-01-28,COH00198,2024-02-12,2024-03-04,2024-03-03,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000114,STU000114,LEAD0001324,CRS0014,MGR0007,2024-01-25,COH00185,2024-03-13,2024-07-03,,Cancelled,484.95,0,USD,Installments,organic,2024-03-02,Changed goals,False,,False
ENR000115,STU000115,LEAD0000768,CRS0014,MGR0002,2024-01-25,COH00185,2024-03-13,2024-07-03,2024-07-04,Completed,17280.0,20,UAH,Full,meta,,,True,2024-07-17,False
ENR000116,STU000116,LEAD0001196,CRS0012,MGR0008,2024-01-23,COH00152,2024-02-14,2024-07-24,2024-08-02,Completed,32400.0,0,UAH,Installments,instagram,,,True,2024-08-17,False
ENR000117,STU000117,LEAD0001242,CRS0013,MGR0002,2024-01-18,COH00170,2024-02-26,2024-05-06,2024-05-10,Completed,26000.0,0,UAH,Full,instagram,,,True,2024-05-26,False
ENR000118,STU000118,LEAD0001839,CRS0014,MGR0002,2024-01-23,COH00185,2024-03-13,2024-07-03,2024-07-07,Completed,414.68,15,USD,Full,meta,,,True,2024-07-17,False
ENR000119,STU000119,LEAD0001295,CRS0015,MGR0002,2024-01-20,COH00198,2024-02-12,2024-03-04,2024-03-15,Completed,0.0,0,UAH,Free,linkedin,,,False,,False
ENR000120,STU000120,LEAD0000364,CRS0015,MGR0002,2024-01-29,COH00198,2024-02-12,2024-03-04,2024-03-12,Completed,0.0,0,EUR,Free,meta,,,False,,False
ENR000121,STU000121,LEAD0001483,CRS0014,MGR0008,2024-01-24,COH00185,2024-03-13,2024-07-03,,Cancelled,15120.0,30,UAH,Full,organic,2024-02-26,Financial,False,,False
ENR000122,STU000122,LEAD0001694,CRS0012,MGR0003,2024-01-23,COH00152,2024-02-14,2024-07-24,2024-07-26,Completed,32400.0,0,UAH,Full,meta,,,True,,False
ENR000123,STU000123,LEAD0001200,CRS0008,MGR0005,2024-01-21,COH00091,2024-02-11,2024-03-03,2024-02-29,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000124,STU000124,LEAD0000444,CRS0008,MGR0002,2024-01-18,COH00091,2024-02-11,2024-03-03,2024-02-27,Completed,0.0,0,UAH,Free,referral,,,False,,False
ENR000125,STU000125,LEAD0000224,CRS0008,MGR0002,2024-01-30,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,CZK,Free,chatgpt.com,,,False,,False
ENR000126,STU000126,LEAD0000185,CRS0011,MGR0008,2024-01-23,COH00140,2024-03-11,2024-06-10,2024-06-19,Completed,26125.0,5,UAH,Installments,meta,,,True,,False
ENR000127,STU000127,LEAD0000255,CRS0001,MGR0008,2024-01-29,COH00002,2024-03-13,2024-06-05,2024-05-31,Completed,28200.0,25,UAH,Full,organic,,,True,2024-06-06,False
ENR000128,STU000128,LEAD0001480,CRS0001,MGR0004,2024-01-21,COH00002,2024-03-13,2024-06-05,2024-06-11,Completed,743.37,15,EUR,Installments,meta,,,True,2024-06-17,False
ENR000129,STU000129,LEAD0001066,CRS0012,MGR0007,2024-01-31,COH00152,2024-02-14,2024-07-24,2024-07-29,Completed,24300.0,25,UAH,Installments,direct,,,True,2024-08-12,False
ENR000130,STU000130,LEAD0001093,CRS0015,MGR0006,2024-01-29,COH00198,2024-02-12,2024-03-04,2024-03-10,Completed,0.0,0,USD,Free,meta,,,False,,False
ENR000131,STU000131,LEAD0000266,CRS0012,MGR0008,2024-01-29,COH00152,2024-02-14,2024-07-24,,Dropped,30780.0,5,UAH,Installments,chatgpt.com,,,False,,False
ENR000132,STU000132,LEAD0001496,CRS0008,MGR0004,2024-01-29,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,instagram,,,False,,False
ENR000133,STU000133,LEAD0000050,CRS0015,MGR0008,2024-01-27,COH00198,2024-02-12,2024-03-04,2024-03-08,Completed,0.0,0,UAH,Free,meta,,,False,,False
ENR000134,STU000134,LEAD0000086,CRS0006,MGR0007,2024-01-31,COH00067,2024-03-02,2024-05-11,2024-05-20,Completed,32385.0,15,UAH,Installments,instagram,,,True,2024-06-02,False
ENR000135,STU000135,LEAD0001551,CRS0005,MGR0003,2024-01-28,COH00052,2024-02-20,2024-04-02,,Dropped,639.27,0,USD,Full,instagram,,,False,,False
ENR000136,STU000136,LEAD0000492,CRS0014,MGR0005,2024-01-28,COH00185,2024-03-13,2024-07-03,2024-06-28,Completed,428.71,15,EUR,Full,referral,,,True,2024-07-04,False
ENR000137,STU000137,LEAD0000759,CRS0015,MGR0008,2024-02-01,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,instagram,,,False,,False
ENR000138,STU000138,LEAD0001267,CRS0013,MGR0008,2024-01-24,COH00170,2024-02-26,2024-05-06,2024-05-17,Completed,18200.0,30,UAH,Installments,telegram,,,True,2024-05-27,False
ENR000139,STU000139,LEAD0001472,CRS0008,MGR0006,2024-01-26,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,EUR,Free,chatgpt.com,,,False,,False
ENR000140,STU000140,LEAD0001390,CRS0013,MGR0006,2024-01-30,COH00170,2024-02-26,2024-05-06,2024-05-14,Completed,18200.0,30,UAH,Full,chatgpt.com,,,True,2024-05-16,False
ENR000141,STU000141,LEAD0000873,CRS0012,MGR0008,2024-01-27,COH00152,2024-02-14,2024-07-24,2024-08-03,Completed,717.79,5,EUR,Full,chatgpt.com,,,True,2024-08-15,False
ENR000142,STU000142,LEAD0001484,CRS0017,MGR0004,2024-01-24,COH00232,2024-03-23,2024-09-07,,Dropped,633.44,0,USD,Full,organic,,,False,,False
ENR000143,STU000143,LEAD0000745,CRS0005,MGR0005,2024-01-31,COH00052,2024-02-20,2024-04-02,2024-04-05,Completed,626.61,5,EUR,Full,meta,,,True,2024-04-14,False
ENR000144,STU000144,LEAD0000073,CRS0008,MGR0003,2024-01-20,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,EUR,Free,instagram,,,False,,False
ENR000145,STU000145,LEAD0000360,CRS0008,MGR0002,2024-01-26,COH00091,2024-02-11,2024-03-03,,Dropped,0.0,0,UAH,Free,linkedin,,,False,,False
ENR000146,STU000146,LEAD0000744,CRS0015,MGR0002,2024-01-22,COH00198,2024-02-12,2024-03-04,,Dropped,0.0,0,UAH,Free,organic,,,False,,False
ENR000147,STU000147,LEAD0000973,CRS0015,MGR0005,2024-01-29,COH00198,2024-02-12,2024-03-04,2024-02-28,Completed,0.0,0,PLN,Free,organic,,,False,,False
ENR000148,STU000148,LEAD0001923,CRS0017,MGR0002,2024-01-20,COH00232,2024-03-23,2024-09-07,2024-09-03,Completed,27900.0,0,UAH,Installments,instagram,,,True,2024-09-21,False
