PaymentID,LeadID,StudentID,EnrollmentID,ManagerID,CourseID,PaymentDate,PaymentType,InstallmentNumber,InstallmentCount,GrossAmount,DiscountAmount,RefundAmount,ProcessingFee,NetAmount,Currency,ExchangeRateToBase,GrossAmountBase,NetAmountBase,PaymentMethod,PaymentProvider,PaymentStatus,RefundDate,RefundReason,InvoiceNumber,IsTestPayment,CurrencyNormalized,RefundStatusIsInconsistent,InvoiceNumberNormalized,InvoiceNumberIsMalformed,IsFinancialKPIEligible,FXRateApplied,FXRateSource
PAY0000011,LEAD0000214,STU000009,ENR000009,MGR0002,CRS0014,2024-01-19,Full,1,1,12123.25,0.0,0.0,0.0,12123.25,CZK,1.786,21652.12,21652.12,Wise,WayForPay,Pending,,,INV-2024-000011,False,CZK,False,INV-2024-000011,False,False,1.786,ExchangeRates Exact Lookup
PAY0000012,LEAD0000466,STU000013,ENR000013,MGR0002,CRS0005,2024-01-19,Full,1,1,672.6,67.26,0.0,0.0,605.34,USD,44.1348,29685.07,26716.56,Card,Wise,Pending,,,INV-2024-000012,False,USD,False,INV-2024-000012,False,False,44.1348,ExchangeRates Exact Lookup
PAY0000013,LEAD0000611,STU000015,ENR000015,MGR0002,CRS0014,2024-01-17,Full,1,1,518.87,129.72,0.0,9.38,379.77,USD,43.3462,22491.04,16461.59,BankTransfer,Monobank,Completed,,,INV-2024-000013,False,USD,False,INV-2024-000013,False,True,43.3462,ExchangeRates Exact Lookup
PAY0000014,LEAD0000355,STU000018,ENR000018,MGR0007,CRS0013,2024-01-20,Full,1,1,604.59,0.0,0.0,17.12,587.47,EUR,42.8894,25930.5,25196.24,Card,Wise,Completed,,,INV-2024-000014,False,EUR,False,INV-2024-000014,False,True,42.8894,ExchangeRates Exact Lookup
PAY0000015,LEAD0000662,STU000020,ENR000020,MGR0007,CRS0001,2024-01-18,Full,1,1,37600.0,11280.0,0.0,613.99,25706.01,UAH,1.0,37600.0,25706.01,Wise,Monobank,Completed,,,INV-2024-000015,False,UAH,False,INV-2024-000015,False,True,1.0,ExchangeRates Exact Lookup
PAY0000016,LEAD0000068,STU000022,ENR000022,MGR0003,CRS0017,2024-01-12,Full,1,1,27900.0,6975.0,0.0,542.19,20382.81,UAH,1.0,27900.0,20382.81,Card,WayForPay,Completed,,,INV-2024-000016,False,UAH,False,INV-2024-000016,False,True,1.0,ExchangeRates Exact Lookup
PAY0000017,LEAD0000893,STU000025,ENR000025,MGR0008,CRS0014,2024-01-14,Installment,1,3,4006.01,801.2,0.0,62.8,3142.01,CZK,1.8121,7259.29,5693.64,Crypto,USDT,Completed,,,INV-2024-000017,False,CZK,False,INV-2024-000017,False,True,1.8121,ExchangeRates Exact Lookup
PAY0000018,LEAD0000893,STU000025,ENR000025,MGR0008,CRS0014,2024-02-12,Installment,2,3,4006.01,801.2,0.0,61.63,3143.18,CZK,1.8266,7317.38,5741.33,Crypto,USDT,Completed,,,INV-2024-000018,False,CZK,False,INV-2024-000018,False,True,1.8266,ExchangeRates Exact Lookup
PAY0000019,LEAD0000893,STU000025,ENR000025,MGR0008,CRS0014,2024-03-17,Installment,3,3,4006.01,801.2,0.0,79.06,3125.75,CZK,1.7516,7016.93,5475.06,Crypto,USDT,Completed,,,INV-2024-000019,False,CZK,False,INV-2024-000019,False,True,1.7516,ExchangeRates Exact Lookup
PAY0000020,LEAD0000840,STU000027,ENR000027,MGR0006,CRS0012,2024-01-16,Full,1,1,751.65,225.49,0.0,12.09,514.07,USD,43.1054,32400.17,22159.19,Card,WayForPay,Completed,,,INV-2024-000020,False,USD,False,INV-2024-000020,False,True,43.1054,ExchangeRates Exact Lookup
PAY0000021,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-01-21,Installment,1,6,6350.0,317.5,0.0,118.37,5914.13,UAH,1.0,6350.0,5914.13,Card,USDT,Completed,,,INV-2024-000021,False,UAH,False,INV-2024-000021,False,True,1.0,ExchangeRates Exact Lookup
PAY0000022,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-02-18,Installment,2,6,6350.0,317.5,0.0,86.26,5946.24,UAH,1.0,6350.0,5946.24,Card,USDT,Completed,,,INV-2024-000022,False,UAH,False,INV-2024-000022,False,True,1.0,ExchangeRates Exact Lookup
PAY0000023,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-03-21,Installment,3,6,6350.0,317.5,0.0,103.1,5929.4,UAH,1.0,6350.0,5929.4,Card,USDT,Completed,,,INV-2024-000023,False,UAH,False,INV-2024-000023,False,True,1.0,ExchangeRates Exact Lookup
PAY0000024,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-04-16,Installment,4,6,6350.0,317.5,2758.63,103.54,3170.33,UAH,1.0,6350.0,3170.33,Card,USDT,Partially Refunded,2024-05-29,Course mismatch,INV-2024-000024,False,UAH,False,INV-2024-000024,False,True,1.0,ExchangeRates Exact Lookup
PAY0000025,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-05-19,Installment,5,6,6350.0,317.5,0.0,101.14,5931.36,UAH,1.0,6350.0,5931.36,Card,USDT,Completed,,,INV-2024-000025,False,UAH,False,INV-2024-000025,False,True,1.0,ExchangeRates Exact Lookup
PAY0000026,LEAD0000686,STU000028,ENR000028,MGR0008,CRS0006,2024-06-14,Installment,6,6,6350.0,317.5,0.0,137.84,5894.66,UAH,1.0,6350.0,5894.66,Card,USDT,Completed,,,INV-2024-000026,False,UAH,False,INV-2024-000026,False,True,1.0,ExchangeRates Exact Lookup
PAY0000027,LEAD0000043,STU000032,ENR000032,MGR0005,CRS0007,2024-01-20,Full,1,1,973.86,243.47,0.0,15.67,714.72,EUR,42.8894,41768.27,30653.91,Card,WayForPay,Completed,,,INV-2024-000027,False,EUR,False,INV-2024-000027,False,True,42.8894,ExchangeRates Exact Lookup
PAY0000028,LEAD0000506,STU000035,ENR000035,MGR0005,CRS0007,2024-01-14,Full,1,1,42100.0,10525.0,0.0,0.0,31575.0,UAH,1.0,42100.0,31575.0,Wise,Monobank,Failed,,,INV-2024-000028,False,UAH,False,INV-2024-000028,False,False,1.0,ExchangeRates Exact Lookup
PAY0000029,LEAD0000533,STU000038,ENR000038,MGR0008,CRS0012,2024-01-27,Full,1,1,753.6,0.0,0.0,13.06,740.54,EUR,42.8817,32315.65,31755.61,BankTransfer,Wise,Completed,,,INV-2024-000029,False,EUR,False,INV-2024-000029,False,True,42.8817,ExchangeRates Exact Lookup
PAY0000030,LEAD0001054,STU000039,ENR000039,MGR0007,CRS0005,2024-01-21,Full,1,1,28600.0,1430.0,0.0,545.33,26624.67,UAH,1.0,28600.0,26624.67,Card,Wise,Completed,,,INV-2024-000030,False,UAH,False,INV-2024-000030,False,True,1.0,ExchangeRates Exact Lookup
PAY0000031,LEAD0000578,STU000040,ENR000040,MGR0002,CRS0012,,Installment,1,2,16200.0,4050.0,0.0,247.15,11902.85,UAH,1.0,16200.0,11902.85,Crypto,Monobank,Completed,,,INV-2024-000031,False,UAH,False,INV-2024-000031,False,True,1.0,Payments Stored Rate - Missing PaymentDate
PAY0000032,LEAD0000578,STU000040,ENR000040,MGR0002,CRS0012,2024-02-25,Installment,2,2,16200.0,4050.0,0.0,265.65,11884.35,UAH,1.0,16200.0,11884.35,Crypto,Monobank,Completed,,,INV-2024-000032,False,UAH,False,INV-2024-000032,False,True,1.0,ExchangeRates Exact Lookup
PAY0000033,LEAD0000211,STU000041,ENR000041,MGR0006,CRS0014,2024-01-20,Full,1,1,490.16,147.05,0.0,5.07,338.04,USD,44.0794,21605.96,14900.6,Card,USDT,Completed,,,INV-2024-000033,False,USD,False,INV-2024-000033,False,True,44.0794,ExchangeRates Exact Lookup
PAY0000034,LEAD0000935,STU000044,ENR000044,MGR0002,CRS0014,2024-01-24,Installment,1,3,7200.0,360.0,0.0,106.51,6733.49,UAH,1.0,7200.0,6733.49,Wise,Monobank,Completed,,,INV-2024-000034,False,UAH,False,INV-2024-000034,False,True,1.0,ExchangeRates Exact Lookup
PAY0000035,LEAD0000935,STU000044,ENR000044,MGR0002,CRS0014,2024-02-20,Installment,2,3,7200.0,360.0,0.0,175.56,6664.44,UAH,1.0,7200.0,6664.44,Wise,Monobank,Completed,,,INV-2024-000035,False,UAH,False,INV-2024-000035,False,True,1.0,ExchangeRates Exact Lookup
PAY0000036,LEAD0000935,STU000044,ENR000044,MGR0002,CRS0014,2024-03-26,Installment,3,3,7200.0,360.0,0.0,167.73,6672.27,UAH,1.0,7200.0,6672.27,Wise,Monobank,Completed,,,INV-2024-000036,False,UAH,False,INV-2024-000036,False,True,1.0,ExchangeRates Exact Lookup
PAY0000037,LEAD0000359,STU000046,ENR000046,MGR0004,CRS0006,2024-01-17,Installment,1,3,298.67,44.8,0.0,3.77,250.1,USD,43.3462,12946.21,10840.88,Crypto,WayForPay,Completed,,,INV-2024-000037,False,USD,False,INV-2024-000037,False,True,43.3462,ExchangeRates Exact Lookup
PAY0000038,LEAD0000359,STU000046,ENR000046,MGR0004,CRS0006,2024-02-17,Installment,2,3,298.67,44.8,0.0,4.55,249.32,USD,41.3063,12336.95,10298.49,Crypto,WayForPay,Completed,,,INV-2024-000038,False,USD,False,INV-2024-000038,False,True,41.3063,ExchangeRates Exact Lookup
PAY0000039,LEAD0000359,STU000046,ENR000046,MGR0004,CRS0006,2024-03-15,Installment,3,3,298.67,44.8,0.0,6.49,247.38,USD,43.4547,12978.62,10749.82,Crypto,WayForPay,Completed,,,INV-2024-000039,False,USD,False,INV-2024-000039,False,True,43.4547,ExchangeRates Exact Lookup
PAY0000040,LEAD0000742,STU000047,ENR000047,MGR0005,CRS0014,2024-01-24,Full,1,1,21600.0,6480.0,15120.0,405.4,-405.4,UAH,1.0,21600.0,-405.4,Crypto,Wise,Refunded,2024-04-14,Financial reasons,INV-2024-000040,False,UAH,False,INV-2024-000040,False,True,1.0,ExchangeRates Exact Lookup
PAY0000041,LEAD0000452,STU000054,ENR000054,MGR0002,CRS0011,2024-01-23,Full,1,1,27500.0,1375.0,0.0,400.54,25724.46,UAH,1.0,27500.0,25724.46,Wise,Monobank,Completed,,,INV-2024-000041,False,UAH,False,INV-2024-000041,False,True,1.0,ExchangeRates Exact Lookup
PAY0000042,LEAD0000702,STU000057,ENR000057,MGR0006,CRS0002,2024-01-25,Installment,1,3,12266.67,613.33,0.0,179.94,11473.4,UAH,1.0,12266.67,11473.4,Card,Wise,Completed,,,INV-2024-000042,False,UAH,False,INV-2024-000042,False,True,1.0,ExchangeRates Exact Lookup
PAY0000043,LEAD0000702,STU000057,ENR000057,MGR0006,CRS0002,2024-02-23,Installment,2,3,12266.67,613.33,0.0,247.05,11406.29,UAH,1.0,12266.67,11406.29,Card,Wise,Completed,,,INV-2024-000043,False,UAH,False,INV-2024-000043,False,True,1.0,ExchangeRates Exact Lookup
PAY0000044,LEAD0000702,STU000057,ENR000057,MGR0006,CRS0002,2024-03-28,Installment,3,3,12266.67,613.33,0.0,212.79,11440.55,UAH,1.0,12266.67,11440.55,Card,Wise,Completed,,,INV-2024-000044,False,UAH,False,INV-2024-000044,False,True,1.0,ExchangeRates Exact Lookup
PAY0000045,LEAD0000710,STU000059,ENR000059,MGR0002,CRS0005,2024-01-22,Full,1,1,28600.0,1430.0,0.0,517.39,26652.61,UAH,1.0,28600.0,26652.61,Card,PrivatBank,Completed,,,INV-2024-000045,False,UAH,False,INV-2024-000045,False,True,1.0,ExchangeRates Exact Lookup
PAY0000046,LEAD0000831,STU000060,ENR000060,MGR0003,CRS0012,2024-01-27,Installment,1,2,1583.1,237.46,0.0,20.28,1325.36,PLN,10.4957,16615.74,13910.58,Card,Wise,Completed,,,INV-2024-000046,False,PLN,False,INV-2024-000046,False,True,10.4957,ExchangeRates Exact Lookup
PAY0000047,LEAD0000831,STU000060,ENR000060,MGR0003,CRS0012,2024-02-27,Installment,2,2,1583.1,237.46,0.0,20.35,1325.29,PLN,10.3204,16338.23,13677.52,Card,Wise,Completed,,,INV-2024-000047,False,PLN,False,INV-2024-000047,False,True,10.3204,ExchangeRates Exact Lookup
PAY0000048,LEAD0000787,STU000061,ENR000061,MGR0002,CRS0002,2024-01-22,Installment,1,4,9200.0,920.0,0.0,125.11,8154.89,UAH,1.0,9200.0,8154.89,Card,Wise,Completed,,,INV-2024-000048,False,UAH,False,INV-2024-000048,False,True,1.0,ExchangeRates Exact Lookup
PAY0000049,LEAD0000787,STU000061,ENR000061,MGR0002,CRS0002,2024-02-23,Installment,2,4,9200.0,920.0,0.0,245.83,8034.17,UAH,1.0,9200.0,8034.17,Card,Wise,Completed,,,INV-2024-000049,False,UAH,False,INV-2024-000049,False,True,1.0,ExchangeRates Exact Lookup
PAY0000050,LEAD0000787,STU000061,ENR000061,MGR0002,CRS0002,2024-03-21,Installment,3,4,9200.0,920.0,0.0,181.16,8098.84,UAH,1.0,9200.0,8098.84,Card,Wise,Completed,,,INV-2024-000050,False,UAH,False,INV-2024-000050,False,True,1.0,ExchangeRates Exact Lookup
PAY0000051,LEAD0000787,STU000061,ENR000061,MGR0002,CRS0002,2024-04-23,Installment,4,4,9200.0,920.0,0.0,134.11,8145.89,UAH,1.0,9200.0,8145.89,Card,Wise,Completed,,,INV-2024-000051,False,UAH,False,INV-2024-000051,False,True,1.0,ExchangeRates Exact Lookup
PAY0000052,LEAD0000024,STU000062,ENR000062,MGR0003,CRS0012,2024-01-19,Full,1,1,32400.0,9720.0,0.0,355.86,22324.14,UAH,1.0,32400.0,22324.14,Crypto,Wise,Completed,,,INV-2024-000052,False,UAH,False,INV-2024-000052,False,True,1.0,ExchangeRates Exact Lookup
PAY0000053,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-01-26,Installment,1,6,6266.67,626.67,0.0,168.47,5471.53,UAH,1.0,6266.67,5471.53,Card,Wise,Completed,,,INV-2024-000053,False,UAH,False,INV-2024-000053,False,True,1.0,ExchangeRates Exact Lookup
PAY0000054,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-02-25,Installment,2,6,6266.67,626.67,0.0,82.29,5557.71,UAH,1.0,6266.67,5557.71,Card,Wise,Completed,,,INV-2024-000054,False,UAH,False,INV-2024-000054,False,True,1.0,ExchangeRates Exact Lookup
PAY0000055,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-03-28,Installment,3,6,6266.67,626.67,0.0,152.21,5487.79,UAH,1.0,6266.67,5487.79,Card,Wise,Completed,,,INV-2024-000055,False,UAH,False,INV-2024-000055,False,True,1.0,ExchangeRates Exact Lookup
PAY0000056,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-04-22,Installment,4,6,6266.67,626.67,0.0,114.68,5525.32,UAH,1.0,6266.67,5525.32,Card,Wise,Completed,,,INV-2024-000056,False,UAH,False,INV-2024-000056,False,True,1.0,ExchangeRates Exact Lookup
PAY0000057,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-05-24,Installment,5,6,6266.67,626.67,0.0,167.57,5472.43,UAH,1.0,6266.67,5472.43,Card,Wise,Completed,,,INV-2024-000057,False,UAH,False,INV-2024-000057,False,True,1.0,ExchangeRates Exact Lookup
PAY0000058,LEAD0001301,STU000064,ENR000064,MGR0008,CRS0001,2024-06-24,Installment,6,6,6266.67,626.67,0.0,108.73,5531.27,UAH,1.0,6266.67,5531.27,Card,Wise,Completed,,,INV-2024-000058,False,UAH,False,INV-2024-000058,False,True,1.0,ExchangeRates Exact Lookup
PAY0000059,LEAD0001013,STU000065,ENR000065,MGR0008,CRS0012,2024-01-21,Full,1,1,32400.0,0.0,0.0,513.49,31886.51,UAH,1.0,32400.0,31886.51,Card,USDT,Completed,,,INV-2024-000059,False,UAH,False,INV-2024-000059,False,True,1.0,ExchangeRates Exact Lookup
PAY0000060,LEAD0001487,STU000066,ENR000066,MGR0004,CRS0005,2024-01-23,Installment,1,3,9533.33,0.0,0.0,0.0,9533.33,UAH,1.0,9533.33,9533.33,Card,WayForPay,Canceled,,,INV-2024-000060,False,UAH,False,INV-2024-000060,False,False,1.0,ExchangeRates Exact Lookup
PAY0000061,LEAD0001487,STU000066,ENR000066,MGR0004,CRS0005,2024-02-19,Installment,2,3,9533.33,0.0,0.0,0.0,9533.33,UAH,1.0,9533.33,9533.33,Card,WayForPay,Canceled,,,INV-2024-000061,False,UAH,False,INV-2024-000061,False,False,1.0,ExchangeRates Exact Lookup
PAY0000062,LEAD0001487,STU000066,ENR000066,MGR0004,CRS0005,2024-03-24,Installment,3,3,9533.33,0.0,0.0,0.0,9533.33,UAH,1.0,9533.33,9533.33,Card,WayForPay,Canceled,,,INV-2024-000062,False,UAH,False,INV-2024-000062,False,False,1.0,ExchangeRates Exact Lookup
PAY0000063,LEAD0000310,STU000067,ENR000067,MGR0007,CRS0005,2024-01-16,Full,1,1,28600.0,7150.0,0.0,0.0,21450.0,UAH,1.0,28600.0,21450.0,Crypto,Wise,Pending,,,INV-2024-000063,False,UAH,False,INV-2024-000063,False,False,1.0,ExchangeRates Exact Lookup
PAY0000064,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-01-25,Installment,1,6,97.87,29.36,0.0,1.86,66.65,USD,44.5403,4359.16,2968.61,Card,WayForPay,Completed,,,INV-2024-000064,False,USD,False,INV-2024-000064,False,True,44.5403,ExchangeRates Exact Lookup
PAY0000065,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-02-24,Installment,2,6,97.87,29.36,0.0,1.62,66.89,USD,41.9747,4108.06,2807.69,Card,WayForPay,Completed,,,INV-2024-000065,False,USD,False,INV-2024-000065,False,True,41.9747,ExchangeRates Exact Lookup
PAY0000066,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-03-26,Installment,3,6,97.87,29.36,0.0,1.25,67.26,USD,42.0257,4113.06,2826.65,Card,WayForPay,Completed,,,INV-2024-000066,False,USD,False,INV-2024-000066,False,True,42.0257,ExchangeRates Exact Lookup
PAY0000067,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-04-26,Installment,4,6,97.87,29.36,0.0,1.85,66.66,USD,42.9384,4202.38,2862.27,Card,WayForPay,Completed,,,INV-2024-000067,False,USD,False,INV-2024-000067,False,True,42.9384,ExchangeRates Exact Lookup
PAY0000068,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-05-23,Installment,5,6,97.87,29.36,0.0,1.72,66.79,USD,41.9382,4104.49,2801.05,Card,WayForPay,Completed,,,INV-2024-000068,False,USD,False,INV-2024-000068,False,True,41.9382,ExchangeRates Exact Lookup
PAY0000069,LEAD0000577,STU000069,ENR000069,MGR0007,CRS0013,2024-06-24,Installment,6,6,97.87,29.36,0.0,1.98,66.53,USD,41.4644,4058.12,2758.63,Card,WayForPay,Completed,,,INV-2024-000069,False,USD,False,INV-2024-000069,False,True,41.4644,ExchangeRates Exact Lookup
PAY0000070,LEAD0000146,STU000070,ENR000070,MGR0004,CRS0005,2024-01-28,Full,1,1,2794.85,0.0,0.0,36.78,2758.07,PLN,10.4631,29242.8,28857.96,Wise,PrivatBank,Completed,,,INV-2024-000070,False,PLN,False,INV-2024-000070,False,True,10.4631,ExchangeRates Exact Lookup
PAY0000071,LEAD0000721,STU000071,ENR000071,MGR0004,CRS0005,2024-01-24,Installment,1,2,14300.0,2860.0,0.0,0.0,11440.0,UAH,1.0,14300.0,11440.0,Card,USDT,Canceled,,,INV-2024-000071,False,UAH,False,INV-2024-000071,False,False,1.0,ExchangeRates Exact Lookup
PAY0000072,LEAD0000721,STU000071,ENR000071,MGR0004,CRS0005,2024-02-23,Installment,2,2,14300.0,2860.0,0.0,0.0,11440.0,UAH,1.0,14300.0,11440.0,Card,USDT,Canceled,,,INV-2024-000072,False,UAH,False,INV-2024-000072,False,False,1.0,ExchangeRates Exact Lookup
PAY0000073,LEAD0000077,STU000072,ENR000072,MGR0002,CRS0012,2024-01-22,Full,1,1,3208.87,320.89,0.0,62.91,2825.07,PLN,10.1724,32641.91,28737.74,BankTransfer,Monobank,Completed,,,INV-2024-000073,False,PLN,False,INV-2024-000073,False,True,10.1724,ExchangeRates Exact Lookup
PAY0000074,LEAD0001151,STU000073,ENR000073,MGR0002,CRS0001,2024-01-17,Full,1,1,37600.0,1880.0,0.0,661.22,35058.78,UAH,1.0,37600.0,35058.78,Wise,USDT,Completed,,,INV-2024-000074,False,UAH,False,INV-2024-000074,False,True,1.0,ExchangeRates Exact Lookup
PAY0000075,LEAD0000668,STU000076,ENR000076,MGR0007,CRS0014,2024-01-27,Full,1,1,21600.0,0.0,0.0,407.05,21192.95,UAH,1.0,21600.0,21192.95,Card,Monobank,Completed,,,INV-2024-000075,False,UAH,False,INV-2024-000075,False,True,1.0,ExchangeRates Exact Lookup
PAY0000076,LEAD0000396,STU000077,ENR000077,MGR0008,CRS0011,2024-01-22,Full,1,1,27500.0,6875.0,0.0,562.28,20062.72,UAH,1.0,27500.0,20062.72,BankTransfer,Monobank,Completed,,,INV-2024-000076,False,UAH,False,INV-2024-000076,False,True,1.0,ExchangeRates Exact Lookup
PAY0000077,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-01-27,Installment,1,6,465.81,0.0,0.0,9.75,456.06,PLN,10.4957,4889.0,4786.67,Card,PrivatBank,Completed,,,INV-2024-000077,False,PLN,False,INV-2024-000077,False,True,10.4957,ExchangeRates Exact Lookup
PAY0000078,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-02-27,Installment,2,6,465.81,0.0,0.0,13.06,452.75,PLN,10.3204,4807.35,4672.56,Card,PrivatBank,Completed,,,INV-2024-000078,False,PLN,False,INV-2024-000078,False,True,10.3204,ExchangeRates Exact Lookup
PAY0000079,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-03-27,Installment,3,6,465.81,0.0,0.0,5.8,460.01,PLN,10.0609,4686.47,4628.11,Card,PrivatBank,Completed,,,INV-2024-000079,False,PLN,False,INV-2024-000079,False,True,10.0609,ExchangeRates Exact Lookup
PAY0000080,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-04-27,Installment,4,6,465.81,0.0,0.0,13.57,452.24,PLN,11.0343,5139.89,4990.15,Card,PrivatBank,Completed,,,INV-2024-000080,False,PLN,False,INV-2024-000080,False,True,11.0343,ExchangeRates Exact Lookup
PAY0000081,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-05-26,Installment,5,6,465.81,0.0,0.0,10.83,454.98,PLN,10.561,4919.42,4805.04,Card,PrivatBank,Completed,,,INV-2024-000081,False,PLN,False,INV-2024-000081,False,True,10.561,ExchangeRates Exact Lookup
PAY0000082,LEAD0001577,STU000078,ENR000078,MGR0008,CRS0005,2024-06-26,Installment,6,6,465.81,0.0,0.0,10.32,455.49,PLN,10.4014,4845.08,4737.73,Card,PrivatBank,Completed,,,INV-2024-000082,False,PLN,False,INV-2024-000082,False,True,10.4014,ExchangeRates Exact Lookup
PAY0000083,LEAD0001566,STU000079,ENR000079,MGR0003,CRS0002,2024-01-29,Installment,1,2,18400.0,4600.0,0.0,330.26,13469.74,UAH,1.0,18400.0,13469.74,Wise,Monobank,Completed,,,INV-2024-000083,False,UAH,False,INV-2024-000083,False,True,1.0,ExchangeRates Exact Lookup
PAY0000084,LEAD0001566,STU000079,ENR000079,MGR0003,CRS0002,2024-02-29,Installment,2,2,18400.0,4600.0,0.0,269.58,13530.42,UAH,1.0,18400.0,13530.42,Wise,Monobank,Completed,,,INV-2024-000084,False,UAH,False,INV-2024-000084,False,True,1.0,ExchangeRates Exact Lookup
PAY0000085,LEAD0001258,STU000080,ENR000080,MGR0008,CRS0005,2024-01-19,Full,1,1,28600.0,1430.0,0.0,427.5,26742.5,UAH,1.0,28600.0,26742.5,BankTransfer,PrivatBank,Completed,,,INV-2024-000085,False,UAH,False,INV-2024-000085,False,True,1.0,ExchangeRates Exact Lookup
