ActivityID,ActivityWeek,StudentID,EnrollmentID,CourseID,Logins,ActiveDays,LessonsViewed,LessonsCompleted,HomeworkAssigned,HomeworkSubmitted,HomeworkAccepted,QuizAttempts,AverageQuizScore,VideoMinutesWatched,LiveLessonsAttended,QuestionsAsked,MentorMessages,PlatformHours,LastActivityAt,HomeworkConsistencyFlag,LastActivityAtAnomalyFlag,MissingWeeksBefore,ActivityGapBeforeFlag
ACT00000028,2024-05-08,STU000003,ENR000003,CRS0012,5.0,5,6.0,5,3,2,1,3,50.2,109.0,1,1,4,5.9,2024-05-11 22:33:41,False,False,0,False
ACT00000029,2024-05-15,STU000003,ENR000003,CRS0012,7.0,5,4.0,4,3,3,3,3,82.7,103.0,1,1,2,3.0,2024-05-16 12:50:34,False,False,0,False
ACT00000030,2024-05-22,STU000003,ENR000003,CRS0012,5.0,5,3.0,2,1,1,1,3,72.0,136.0,1,1,4,6.3,2024-05-27 21:03:13,False,False,0,False
ACT00000031,2024-05-29,STU000003,ENR000003,CRS0012,8.0,4,4.0,3,1,1,1,3,85.0,122.0,1,1,0,8.0,2024-06-04 07:20:26,False,False,0,False
ACT00000032,2024-06-05,STU000003,ENR000003,CRS0012,6.0,5,5.0,3,2,2,1,1,40.8,137.0,1,1,3,9.5,2024-06-08 11:38:21,False,False,0,False
ACT00000033,2024-06-12,STU000003,ENR000003,CRS0012,6.0,5,4.0,3,2,2,1,2,93.0,138.0,1,2,3,4.2,2024-06-16 02:43:20,False,False,0,False
ACT00000034,2024-06-19,STU000003,ENR000003,CRS0012,8.0,7,4.0,3,2,2,2,2,42.2,132.0,1,2,4,7.0,2024-06-23 04:16:27,False,False,0,False
ACT00000035,2024-06-26,STU000003,ENR000003,CRS0012,7.0,7,4.0,4,3,3,3,2,72.4,134.0,1,2,3,10.2,2024-06-30 19:59:55,False,False,0,False
ACT00000036,2024-07-03,STU000003,ENR000003,CRS0012,4.0,4,2.0,1,2,1,1,4,70.9,174.0,2,2,2,4.9,2024-07-04 20:49:20,False,False,0,False
ACT00000037,2024-07-10,STU000003,ENR000003,CRS0012,6.0,6,4.0,4,1,0,0,3,56.8,121.0,2,0,2,10.7,2024-07-14 17:03:57,False,False,0,False
ACT00000038,2024-07-17,STU000003,ENR000003,CRS0012,0.0,5,4.0,4,2,1,1,3,59.3,169.0,1,1,2,6.9,2024-07-23 09:11:05,False,False,0,False
ACT00000039,2024-02-12,STU000004,ENR000004,CRS0015,4.0,3,2.0,1,3,3,2,2,34.6,151.0,0,2,0,3.0,2024-02-14 09:38:34,False,False,0,False
ACT00000040,2024-02-19,STU000004,ENR000004,CRS0015,6.0,5,3.0,3,3,3,2,2,44.1,76.0,0,0,2,4.5,2024-02-21 18:05:22,False,False,0,False
ACT00000041,2024-02-26,STU000004,ENR000004,CRS0015,5.0,4,2.0,2,2,2,2,2,77.9,153.0,1,2,0,3.0,2024-03-02 13:38:05,False,False,0,False
ACT00000042,2024-01-20,STU000005,ENR000005,CRS0017,11.0,6,4.0,3,2,2,2,3,85.7,169.0,0,0,4,7.6,2024-01-26 07:44:49,False,False,0,False
ACT00000043,2024-01-27,STU000005,ENR000005,CRS0017,8.0,5,4.0,3,3,2,2,3,48.4,229.0,1,4,4,6.3,2024-01-30 19:31:47,False,False,0,False
ACT00000044,2024-02-03,STU000005,ENR000005,CRS0017,10.0,6,5.0,3,3,2,2,5,97.8,242.0,2,4,3,6.6,2024-02-08 05:18:50,False,False,0,False
ACT00000045,2024-02-10,STU000005,ENR000005,CRS0017,9.0,5,5.0,3,2,1,1,3,45.4,227.0,0,2,4,4.8,2024-02-16 10:36:35,False,False,0,False
ACT00000046,2024-02-17,STU000005,ENR000005,CRS0017,7.0,7,5.0,4,2,1,1,4,55.5,194.0,0,3,2,8.1,2024-02-21 15:54:29,False,False,0,False
ACT00000047,2024-02-24,STU000005,ENR000005,CRS0017,11.0,7,6.0,4,1,0,0,3,87.7,272.0,3,3,3,7.5,2024-02-24 21:03:20,False,False,0,False
ACT00000048,2024-03-02,STU000005,ENR000005,CRS0017,11.0,5,6.0,5,2,2,1,3,94.4,178.0,1,4,3,7.7,2024-03-08 06:39:25,False,False,0,False
ACT00000049,2024-03-09,STU000005,ENR000005,CRS0017,8.0,7,4.0,2,2,2,2,4,65.3,202.0,2,4,3,11.1,2024-03-13 17:36:20,False,False,0,False
ACT00000050,2024-03-16,STU000005,ENR000005,CRS0017,12.0,7,4.0,3,2,1,1,4,46.1,183.0,1,3,5,8.5,2024-03-22 06:27:52,False,False,0,False
ACT00000051,2024-03-23,STU000005,ENR000005,CRS0017,8.0,7,5.0,4,2,1,1,2,97.1,236.0,1,3,3,4.9,2024-03-27 20:09:44,False,False,0,False
ACT00000052,2024-03-30,STU000005,ENR000005,CRS0017,8.0,6,5.0,5,3,3,2,4,74.4,197.0,3,2,2,7.2,2024-03-31 12:07:22,False,False,0,False
ACT00000053,2024-04-06,STU000005,ENR000005,CRS0017,11.0,7,4.0,4,2,1,1,2,52.8,195.0,2,2,4,4.9,2024-04-09 12:42:24,False,False,0,False
ACT00000054,2024-04-13,STU000005,ENR000005,CRS0017,11.0,7,3.0,2,3,2,2,2,64.8,225.0,1,3,5,8.5,2024-04-14 10:48:32,False,False,0,False
ACT00000055,2024-04-20,STU000005,ENR000005,CRS0017,12.0,7,5.0,4,2,1,1,3,50.0,199.0,2,2,5,9.5,2024-04-25 18:08:31,False,False,0,False
ACT00000056,2024-04-27,STU000005,ENR000005,CRS0017,11.0,7,5.0,3,3,2,2,3,92.4,185.0,2,1,2,4.9,2024-05-02 17:58:38,False,False,0,False
ACT00000057,2024-05-04,STU000005,ENR000005,CRS0017,9.0,6,6.0,4,2,2,1,4,83.5,192.0,1,2,3,6.0,2024-05-06 17:03:15,False,False,0,False
ACT00000058,2024-05-11,STU000005,ENR000005,CRS0017,9.0,7,4.0,3,2,2,2,4,98.4,299.0,2,4,2,10.3,2024-05-12 19:23:19,False,False,0,False
ACT00000059,2024-05-18,STU000005,ENR000005,CRS0017,7.0,4,4.0,4,2,1,1,2,98.4,162.0,1,3,3,9.6,2024-05-19 04:56:49,False,False,0,False
ACT00000060,2024-05-25,STU000005,ENR000005,CRS0017,9.0,7,2.0,2,2,2,1,2,87.8,255.0,2,2,5,10.3,2024-05-29 02:19:51,False,False,0,False
ACT00000061,2024-06-01,STU000005,ENR000005,CRS0017,7.0,6,4.0,3,1,0,0,2,47.6,209.0,1,2,6,7.0,2024-06-06 11:42:50,False,False,0,False
ACT00000062,2024-06-08,STU000005,ENR000005,CRS0017,11.0,6,3.0,2,1,1,1,2,57.2,207.0,1,2,3,9.1,2024-06-14 12:12:11,False,False,0,False
ACT00000063,2024-06-15,STU000005,ENR000005,CRS0017,11.0,7,5.0,4,2,2,2,3,63.4,245.0,1,2,5,2.9,2024-06-18 00:28:33,False,False,0,False
ACT00000064,2024-06-22,STU000005,ENR000005,CRS0017,14.0,6,4.0,4,1,1,1,6,44.5,191.0,1,2,2,12.3,2024-06-24 00:53:19,False,False,0,False
ACT00000065,2024-06-29,STU000005,ENR000005,CRS0017,12.0,5,6.0,5,1,1,1,3,57.0,185.0,1,3,5,4.8,2024-07-05 01:08:47,False,False,0,False
ACT00000066,2024-02-14,STU000006,ENR000006,CRS0012,5.0,5,3.0,2,2,2,2,1,77.9,201.0,0,1,1,7.7,2024-02-17 22:25:16,False,False,0,False
ACT00000067,2024-02-21,STU000006,ENR000006,CRS0012,6.0,6,5.0,4,1,1,1,3,84.7,165.0,0,1,2,6.1,2024-02-26 22:09:37,False,False,0,False
ACT00000068,2024-02-28,STU000006,ENR000006,CRS0012,6.0,5,5.0,3,3,2,1,1,50.8,150.0,2,2,3,2.8,2024-02-28 15:49:00,False,False,0,False
ACT00000069,2024-03-06,STU000006,ENR000006,CRS0012,4.0,6,3.0,3,2,1,1,2,74.3,89.0,1,3,0,7.9,2024-03-07 03:03:40,False,False,0,False
ACT00000070,2024-03-13,STU000006,ENR000006,CRS0012,7.0,5,3.0,2,2,2,2,2,52.5,119.0,2,2,1,2.4,2024-03-19 07:38:12,False,False,0,False
ACT00000071,2024-03-20,STU000006,ENR000006,CRS0012,8.0,4,4.0,3,2,2,2,1,87.6,165.0,3,2,3,4.9,2024-03-24 08:49:28,False,False,0,False
ACT00000072,2024-03-27,STU000006,ENR000006,CRS0012,7.0,5,4.0,4,3,3,2,3,48.4,89.0,0,2,2,8.4,2024-03-29 23:43:42,False,False,0,False
ACT00000073,2024-04-03,STU000006,ENR000006,CRS0012,7.0,3,4.0,3,3,2,2,3,78.9,120.0,2,3,1,9.2,2024-04-04 16:48:15,False,False,0,False
ACT00000074,2024-04-10,STU000006,ENR000006,CRS0012,9.0,4,2.0,1,3,1,1,2,38.1,169.0,2,4,4,5.4,2024-04-11 10:39:27,False,False,0,False
ACT00000075,2024-04-17,STU000006,ENR000006,CRS0012,9.0,5,3.0,2,2,1,1,0,0.0,148.0,1,3,3,6.1,2024-04-19 03:43:55,False,False,0,False
ACT00000076,2024-04-24,STU000006,ENR000006,CRS0012,7.0,5,5.0,4,2,2,1,4,62.7,140.0,1,4,2,5.1,2024-04-25 04:21:59,False,False,0,False
ACT00000077,2024-05-01,STU000006,ENR000006,CRS0012,5.0,5,5.0,3,3,1,1,3,74.7,108.0,0,0,3,5.6,2024-05-02 07:12:08,False,False,0,False
ACT00000078,2024-05-08,STU000006,ENR000006,CRS0012,3.0,5,3.0,3,2,2,2,4,75.1,140.0,2,1,2,2.6,2024-05-10 08:30:52,False,False,0,False
ACT00000079,2024-05-15,STU000006,ENR000006,CRS0012,4.0,4,4.0,2,2,1,1,2,61.3,116.0,2,2,0,5.5,2024-05-15 17:40:34,False,False,0,False
ACT00000080,2024-05-22,STU000006,ENR000006,CRS0012,1.0,4,5.0,4,2,1,1,2,52.9,116.0,0,2,2,11.2,2024-05-27 03:42:52,False,False,0,False
ACT00000081,2024-05-29,STU000006,ENR000006,CRS0012,5.0,6,4.0,4,2,2,1,2,44.0,185.0,0,1,2,5.3,2024-06-02 10:13:29,False,False,0,False
ACT00000082,2024-06-05,STU000006,ENR000006,CRS0012,2.0,4,2.0,1,3,2,1,0,0.0,107.0,1,2,2,8.4,2024-06-08 15:36:10,False,False,0,False
ACT00000083,2024-06-12,STU000006,ENR000006,CRS0012,5.0,5,3.0,3,3,3,2,1,71.9,67.0,1,0,2,6.4,2024-06-16 06:01:53,False,False,0,False
ACT00000084,2024-06-19,STU000006,ENR000006,CRS0012,8.0,4,1.0,1,1,1,1,2,64.7,191.0,0,2,1,5.3,2024-06-22 01:50:46,False,False,0,False
ACT00000085,2024-06-26,STU000006,ENR000006,CRS0012,8.0,4,3.0,2,2,1,1,3,61.4,122.0,3,1,4,4.3,2024-06-27 06:11:50,False,False,0,False
ACT00000086,2024-07-03,STU000006,ENR000006,CRS0012,6.0,2,3.0,3,3,3,2,3,76.9,158.0,2,1,0,4.2,2024-07-05 01:55:29,False,False,0,False
ACT00000087,2024-07-10,STU000006,ENR000006,CRS0012,9.0,4,3.0,3,2,2,2,3,48.6,222.0,0,3,1,6.0,2024-07-14 23:25:21,False,False,0,False
ACT00000088,2024-07-17,STU000006,ENR000006,CRS0012,6.0,4,3.0,2,2,2,1,3,74.2,186.0,1,1,2,6.2,2024-07-23 12:26:48,False,False,0,False
ACT00000089,2024-02-20,STU000007,ENR000007,CRS0005,5.0,2,3.0,3,2,1,1,2,39.4,108.0,0,1,3,5.0,2024-02-21 13:41:47,False,False,0,False
ACT00000090,2024-02-27,STU000007,ENR000007,CRS0005,6.0,6,4.0,3,2,1,1,1,75.9,115.0,0,2,0,3.1,2024-03-03 11:55:42,False,False,0,False
ACT00000091,2024-03-05,STU000007,ENR000007,CRS0005,4.0,4,2.0,1,2,2,2,3,64.1,80.0,2,1,0,1.9,2024-03-08 21:09:50,False,False,0,False
ACT00000092,2024-03-12,STU000007,ENR000007,CRS0005,4.0,2,2.0,2,2,2,1,1,69.0,111.0,1,2,1,2.6,2024-03-18 17:54:34,False,False,0,False
ACT00000093,2024-03-19,STU000007,ENR000007,CRS0005,4.0,3,3.0,3,2,1,1,1,77.2,56.0,2,3,3,4.2,2024-03-20 11:55:19,False,False,0,False
ACT00000094,2024-03-26,STU000007,ENR000007,CRS0005,7.0,4,2.0,1,1,1,1,0,0.0,92.0,1,2,0,5.9,2024-03-30 08:45:38,False,False,0,False
ACT00000095,2024-01-15,STU000008,ENR000008,CRS0015,4.0,1,2.0,2,2,1,1,2,41.0,24.0,0,1,0,2.7,2024-01-19 01:58:46,False,False,0,False
ACT00000096,2024-01-22,STU000008,ENR000008,CRS0015,3.0,0,0.0,0,1,0,0,0,0.0,58.0,0,0,2,0.1,2024-01-24 20:12:20,False,False,0,False
ACT00000097,2024-01-29,STU000008,ENR000008,CRS0015,0.0,0,0.0,0,1,0,0,1,31.7,37.0,0,0,0,0.9,2024-01-31 15:52:04,False,False,0,False
ACT00000098,2024-03-13,STU000009,ENR000009,CRS0014,3.0,3,2.0,2,2,2,1,3,66.9,136.0,0,1,4,2.0,2024-03-14 06:42:06,False,False,0,False
ACT00000099,2024-03-20,STU000009,ENR000009,CRS0014,3.0,3,2.0,2,2,2,1,1,60.6,151.0,1,0,3,1.5,2024-03-23 10:57:30,False,False,0,False
ACT00000100,2024-03-27,STU000009,ENR000009,CRS0014,2.0,0,3.0,3,3,3,2,3,64.9,61.0,1,1,3,1.9,2024-04-01 12:51:38,False,False,0,False
ACT00000101,2024-04-03,STU000009,ENR000009,CRS0014,5.0,4,1.0,1,2,1,1,0,0.0,31.0,0,0,0,5.0,2024-04-04 00:48:41,False,False,0,False
ACT00000102,2024-04-10,STU000009,ENR000009,CRS0014,1.0,2,1.0,1,1,0,0,1,37.5,73.0,1,1,3,1.1,2024-04-15 10:35:46,False,False,0,False
ACT00000103,2024-04-17,STU000009,ENR000009,CRS0014,3.0,0,2.0,2,1,0,0,0,0.0,90.0,1,0,1,3.4,2024-04-23 11:57:55,False,False,0,False
ACT00000104,2024-04-24,STU000009,ENR000009,CRS0014,0.0,1,2.0,1,2,1,1,0,0.0,80.0,0,0,0,5.8,2024-04-30 10:58:48,False,False,0,False
ACT00000105,2024-05-01,STU000009,ENR000009,CRS0014,2.0,2,1.0,1,3,2,2,3,36.1,31.0,1,1,1,6.0,2024-05-05 03:56:32,False,False,0,False
ACT00000106,2024-05-08,STU000009,ENR000009,CRS0014,2.0,2,1.0,1,2,1,1,1,55.5,0.0,2,1,0,0.6,2024-05-13 17:27:53,False,False,0,False
ACT00000107,2024-05-15,STU000009,ENR000009,CRS0014,1.0,1,1.0,1,3,1,1,0,0.0,68.0,2,0,0,0.4,2026-12-14 11:44:13,False,True,0,False
ACT00000108,2024-05-22,STU000009,ENR000009,CRS0014,2.0,0,2.0,1,2,1,1,0,0.0,0.0,0,1,1,3.2,2024-05-27 04:38:17,False,False,0,False
ACT00000109,2024-05-29,STU000009,ENR000009,CRS0014,2.0,0,1.0,1,2,1,1,2,65.7,51.0,0,0,3,1.8,2024-06-03 13:46:41,False,False,0,False
ACT00000110,2024-06-05,STU000009,ENR000009,CRS0014,4.0,1,1.0,1,2,0,0,1,60.5,0.0,1,1,1,0.0,2024-06-11 14:06:54,False,False,0,False
ACT00000111,2024-06-12,STU000009,ENR000009,CRS0014,4.0,0,1.0,1,3,1,1,0,0.0,0.0,0,2,2,0.0,2024-06-16 23:52:01,False,False,0,False
ACT00000112,2024-06-19,STU000009,ENR000009,CRS0014,1.0,0,0.0,0,2,1,1,0,0.0,64.0,0,0,3,0.0,2024-06-24 09:28:25,False,False,0,False
ACT00000113,2024-06-26,STU000009,ENR000009,CRS0014,2.0,0,0.0,0,2,0,0,0,0.0,0.0,0,0,0,0.0,2024-07-02 05:50:52,False,False,0,False
ACT00000114,2024-01-14,STU000010,ENR000010,CRS0008,9.0,5,5.0,5,2,2,1,5,43.5,143.0,2,2,3,5.1,2024-01-15 12:15:50,False,False,0,False
ACT00000115,2024-01-21,STU000010,ENR000010,CRS0008,7.0,7,3.0,3,2,1,1,5,97.1,204.0,2,2,0,8.9,2024-01-24 13:18:01,False,False,0,False
ACT00000116,2024-01-28,STU000010,ENR000010,CRS0008,10.0,7,5.0,5,2,2,1,2,67.7,217.0,2,3,6,8.7,2024-02-01 17:24:42,False,False,0,False
ACT00000118,2024-01-22,STU000011,ENR000011,CRS0015,0.0,3,4.0,3,3,1,1,1,31.5,0.0,1,0,0,1.1,2024-01-25 20:18:41,False,False,0,False
ACT00000119,2024-01-29,STU000011,ENR000011,CRS0015,0.0,1,0.0,0,1,0,0,0,0.0,98.0,1,1,0,0.0,2024-02-01 05:32:30,False,False,0,False
ACT00000120,2024-01-15,STU000012,ENR000012,CRS0015,5.0,2,5.0,4,3,2,1,3,86.3,168.0,1,2,0,8.5,2024-01-17 06:08:00,False,False,0,False
ACT00000121,2024-01-22,STU000012,ENR000012,CRS0015,8.0,6,3.0,3,3,2,1,3,64.5,77.0,1,0,2,6.1,2024-01-24 15:24:16,False,False,0,False
ACT00000122,2024-01-29,STU000012,ENR000012,CRS0015,5.0,4,3.0,3,2,2,2,2,40.0,133.0,0,2,1,6.9,2024-02-03 22:33:39,False,False,0,False
ACT00000123,2024-02-20,STU000013,ENR000013,CRS0005,11.0,7,2.0,2,2,1,1,2,53.5,164.0,2,2,4,8.8,2024-02-22 15:57:57,False,False,0,False
ACT00000124,2024-02-27,STU000013,ENR000013,CRS0005,9.0,7,4.0,3,2,2,2,4,75.0,236.0,2,1,5,5.9,2024-03-02 21:03:57,False,False,0,False
ACT00000125,2024-03-05,STU000013,ENR000013,CRS0005,8.0,6,5.0,3,3,2,2,2,83.5,155.0,1,2,3,6.4,2024-03-07 07:13:31,False,False,0,False
ACT00000126,2024-03-12,STU000013,ENR000013,CRS0005,12.0,7,2.0,2,1,1,1,5,40.6,217.0,2,2,5,9.0,2024-03-16 16:20:11,False,False,0,False
ACT00000127,2024-03-19,STU000013,ENR000013,CRS0005,12.0,6,3.0,2,2,2,2,3,41.0,227.0,1,3,1,5.8,2024-03-22 23:36:37,False,False,0,False
ACT00000128,2024-03-26,STU000013,ENR000013,CRS0005,7.0,5,3.0,3,1,1,1,4,52.5,196.0,3,2,4,8.2,2024-03-28 05:39:31,False,False,0,False
ACT00000129,2024-01-14,STU000014,ENR000014,CRS0008,9.0,4,3.0,3,2,1,1,2,56.9,72.0,0,1,3,3.8,2024-01-18 05:08:02,False,False,0,False
ACT00000130,2024-01-21,STU000014,ENR000014,CRS0008,6.0,0,4.0,3,2,1,1,0,0.0,74.0,1,0,1,0.0,2024-01-22 17:12:03,False,False,0,False
ACT00000131,2024-01-28,STU000014,ENR000014,CRS0008,2.0,2,2.0,2,3,0,0,1,30.9,0.0,0,0,0,2.2,2024-02-01 12:07:31,False,False,0,False
ACT00000132,2024-01-17,STU000015,ENR000015,CRS0014,4.0,1,0.0,0,2,1,1,1,42.7,46.0,1,0,0,3.6,2024-01-22 17:59:14,False,False,0,False
ACT00000133,2024-01-24,STU000015,ENR000015,CRS0014,3.0,0,2.0,2,3,1,1,1,47.7,59.0,0,1,2,0.0,2024-01-25 15:52:27,False,False,0,False
ACT00000134,2024-01-31,STU000015,ENR000015,CRS0014,1.0,1,0.0,0,2,1,1,0,0.0,50.0,1,0,0,0.0,2024-02-02 22:29:40,False,False,0,False
ACT00000135,2024-02-07,STU000015,ENR000015,CRS0014,0.0,3,1.0,1,1,0,0,2,63.3,53.0,0,2,1,0.0,2024-02-08 23:34:39,False,False,0,False
ACT00000136,2024-02-14,STU000015,ENR000015,CRS0014,3.0,0,1.0,1,2,0,0,0,0.0,23.0,2,0,0,0.6,2024-02-16 23:53:49,False,False,0,False
ACT00000137,2024-02-21,STU000015,ENR000015,CRS0014,0.0,0,0.0,0,2,1,1,0,0.0,48.0,0,0,1,2.2,2024-02-23 11:43:03,False,False,0,False
ACT00000138,2024-02-28,STU000015,ENR000015,CRS0014,1.0,1,0.0,0,2,0,0,1,40.6,0.0,1,0,0,3.5,2024-03-03 14:40:13,False,False,0,False
ACT00000139,2024-02-12,STU000016,ENR000016,CRS0015,12.0,4,2.0,2,2,2,2,3,55.8,119.0,0,2,4,7.0,2024-02-14 17:31:13,False,False,0,False
ACT00000140,2024-02-19,STU000016,ENR000016,CRS0015,4.0,2,1.0,1,2,1,1,1,54.5,89.0,1,3,1,2.8,2024-02-21 00:40:57,False,False,0,False
ACT00000141,2024-02-26,STU000016,ENR000016,CRS0015,0.0,0,0.0,0,3,1,1,0,0.0,7.0,0,0,1,0.0,2024-03-02 17:10:39,False,False,0,False
ACT00000142,2024-01-14,STU000017,ENR000017,CRS0008,7.0,3,4.0,3,2,2,1,3,67.2,67.0,3,0,0,2.7,2024-01-19 19:44:20,False,False,0,False
ACT00000143,2024-01-21,STU000017,ENR000017,CRS0008,6.0,4,1.0,1,3,3,2,2,84.6,64.0,1,4,3,5.7,2024-01-24 21:25:22,False,False,0,False
ACT00000144,2024-01-28,STU000017,ENR000017,CRS0008,12.0,7,3.0,2,3,3,3,1,45.5,148.0,2,3,3,3.6,2024-01-30 07:05:08,False,False,0,False
ACT00000145,2024-02-26,STU000018,ENR000018,CRS0013,9.0,7,3.0,2,3,3,3,2,81.4,165.0,1,3,3,10.8,2024-02-28 20:23:07,False,False,0,False
ACT00000146,2024-03-04,STU000018,ENR000018,CRS0013,8.0,7,6.0,4,2,2,2,3,95.3,,2,2,5,7.7,2024-03-08 18:59:48,False,False,0,False
ACT00000147,2024-03-11,STU000018,ENR000018,CRS0013,7.0,7,3.0,3,2,1,1,4,,149.0,1,3,2,11.2,2024-03-13 09:53:00,False,False,0,False
ACT00000148,2024-03-18,STU000018,ENR000018,CRS0013,10.0,6,4.0,3,2,2,2,3,43.2,200.0,2,2,1,5.2,2024-03-22 10:54:29,False,False,0,False
ACT00000149,2024-03-25,STU000018,ENR000018,CRS0013,6.0,5,3.0,3,1,1,1,2,72.3,194.0,2,3,3,7.2,2024-03-27 18:55:32,False,False,0,False
ACT00000150,2024-04-01,STU000018,ENR000018,CRS0013,6.0,5,3.0,2,2,2,1,2,43.3,277.0,1,1,2,8.1,2024-04-04 07:05:26,False,False,0,False
ACT00000151,2024-04-08,STU000018,ENR000018,CRS0013,12.0,6,2.0,2,2,2,1,4,51.5,169.0,2,3,2,9.1,2024-04-13 07:24:15,False,False,0,False
