Date,Currency,BaseCurrency,ExchangeRate
2024-07-19,UAH,UAH,1.0
2024-07-20,UAH,UAH,1.0
2024-07-21,UAH,UAH,1.0
2024-07-22,UAH,UAH,1.0
2024-07-23,UAH,UAH,1.0
2024-07-24,UAH,UAH,1.0
2024-07-25,UAH,UAH,1.0
2024-07-26,UAH,UAH,1.0
2024-07-27,UAH,UAH,1.0
2024-07-28,UAH,UAH,1.0
2024-07-29,UAH,UAH,1.0
2024-07-30,UAH,UAH,1.0
2024-07-31,UAH,UAH,1.0
2024-08-01,UAH,UAH,1.0
2024-08-02,UAH,UAH,1.0
2024-08-03,UAH,UAH,1.0
2024-08-04,UAH,UAH,1.0
2024-08-05,UAH,UAH,1.0
2024-08-06,UAH,UAH,1.0
2024-08-07,UAH,UAH,1.0
2024-08-08,UAH,UAH,1.0
2024-08-09,UAH,UAH,1.0
2024-08-10,UAH,UAH,1.0
2024-08-11,UAH,UAH,1.0
2024-08-12,UAH,UAH,1.0
2024-08-13,UAH,UAH,1.0
2024-08-14,UAH,UAH,1.0
2024-08-15,UAH,UAH,1.0
2024-08-16,UAH,UAH,1.0
2024-08-17,UAH,UAH,1.0
2024-08-18,UAH,UAH,1.0
2024-08-19,UAH,UAH,1.0
2024-08-20,UAH,UAH,1.0
2024-08-21,UAH,UAH,1.0
2024-08-22,UAH,UAH,1.0
2024-08-23,UAH,UAH,1.0
2024-08-24,UAH,UAH,1.0
2024-08-25,UAH,UAH,1.0
2024-08-26,UAH,UAH,1.0
2024-08-27,UAH,UAH,1.0
2024-08-28,UAH,UAH,1.0
2024-08-29,UAH,UAH,1.0
2024-08-30,UAH,UAH,1.0
2024-08-31,UAH,UAH,1.0
2024-09-01,UAH,UAH,1.0
2024-09-02,UAH,UAH,1.0
2024-09-03,UAH,UAH,1.0
2024-09-04,UAH,UAH,1.0
2024-09-05,UAH,UAH,1.0
2024-09-06,UAH,UAH,1.0
2024-09-07,UAH,UAH,1.0
2024-09-08,UAH,UAH,1.0
2024-09-09,UAH,UAH,1.0
2024-09-10,UAH,UAH,1.0
2024-09-11,UAH,UAH,1.0
2024-09-12,UAH,UAH,1.0
2024-09-13,UAH,UAH,1.0
2024-09-14,UAH,UAH,1.0
2024-09-15,UAH,UAH,1.0
2024-09-16,UAH,UAH,1.0
2024-09-17,UAH,UAH,1.0
2024-09-18,UAH,UAH,1.0
2024-09-19,UAH,UAH,1.0
2024-09-20,UAH,UAH,1.0
2024-09-21,UAH,UAH,1.0
2024-09-22,UAH,UAH,1.0
2024-09-23,UAH,UAH,1.0
2024-09-24,UAH,UAH,1.0
2024-09-25,UAH,UAH,1.0
2024-09-26,UAH,UAH,1.0
2024-09-27,UAH,UAH,1.0
2024-09-28,UAH,UAH,1.0
2024-09-29,UAH,UAH,1.0
2024-09-30,UAH,UAH,1.0
2024-10-01,UAH,UAH,1.0
2024-10-02,UAH,UAH,1.0
2024-10-03,UAH,UAH,1.0
2024-10-04,UAH,UAH,1.0
2024-10-05,UAH,UAH,1.0
2024-10-06,UAH,UAH,1.0
2024-10-07,UAH,UAH,1.0
2024-10-08,UAH,UAH,1.0
2024-10-09,UAH,UAH,1.0
2024-10-10,UAH,UAH,1.0
2024-10-11,UAH,UAH,1.0
2024-10-12,UAH,UAH,1.0
2024-10-13,UAH,UAH,1.0
2024-10-14,UAH,UAH,1.0
2024-10-15,UAH,UAH,1.0
2024-10-16,UAH,UAH,1.0
2024-10-17,UAH,UAH,1.0
2024-10-18,UAH,UAH,1.0
2024-10-19,UAH,UAH,1.0
2024-10-20,UAH,UAH,1.0
2024-10-21,UAH,UAH,1.0
2024-10-22,UAH,UAH,1.0
2024-10-23,UAH,UAH,1.0
2024-10-24,UAH,UAH,1.0
2024-10-25,UAH,UAH,1.0
2024-10-26,UAH,UAH,1.0
2024-10-27,UAH,UAH,1.0
2024-10-28,UAH,UAH,1.0
2024-10-29,UAH,UAH,1.0
2024-10-30,UAH,UAH,1.0
2024-10-31,UAH,UAH,1.0
2024-11-01,UAH,UAH,1.0
2024-11-02,UAH,UAH,1.0
2024-11-03,UAH,UAH,1.0
2024-11-04,UAH,UAH,1.0
2024-11-05,UAH,UAH,1.0
2024-11-06,UAH,UAH,1.0
2024-11-07,UAH,UAH,1.0
2024-11-08,UAH,UAH,1.0
2024-11-09,UAH,UAH,1.0
2024-11-10,UAH,UAH,1.0
2024-11-11,UAH,UAH,1.0
2024-11-12,UAH,UAH,1.0
2024-11-13,UAH,UAH,1.0
2024-11-14,UAH,UAH,1.0
2024-11-15,UAH,UAH,1.0
2024-11-16,UAH,UAH,1.0
2024-11-17,UAH,UAH,1.0
2024-11-18,UAH,UAH,1.0
2024-11-19,UAH,UAH,1.0
2024-11-20,UAH,UAH,1.0
2024-11-21,UAH,UAH,1.0
2024-11-22,UAH,UAH,1.0
2024-11-23,UAH,UAH,1.0
2024-11-24,UAH,UAH,1.0
2024-11-25,UAH,UAH,1.0
2024-11-26,UAH,UAH,1.0
2024-11-27,UAH,UAH,1.0
2024-11-28,UAH,UAH,1.0
2024-11-29,UAH,UAH,1.0
2024-11-30,UAH,UAH,1.0
2024-12-01,UAH,UAH,1.0
2024-12-02,UAH,UAH,1.0
2024-12-03,UAH,UAH,1.0
2024-12-04,UAH,UAH,1.0
2024-12-05,UAH,UAH,1.0
2024-12-06,UAH,UAH,1.0
2024-12-07,UAH,UAH,1.0
2024-12-08,UAH,UAH,1.0
2024-12-09,UAH,UAH,1.0
2024-12-10,UAH,UAH,1.0
2024-12-11,UAH,UAH,1.0
2024-12-12,UAH,UAH,1.0
2024-12-13,UAH,UAH,1.0
2024-12-14,UAH,UAH,1.0
2024-12-15,UAH,UAH,1.0
2024-12-16,UAH,UAH,1.0
2024-12-17,UAH,UAH,1.0
2024-12-18,UAH,UAH,1.0
2024-12-19,UAH,UAH,1.0
2024-12-20,UAH,UAH,1.0
2024-12-21,UAH,UAH,1.0
2024-12-22,UAH,UAH,1.0
2024-12-23,UAH,UAH,1.0
2024-12-24,UAH,UAH,1.0
2024-12-25,UAH,UAH,1.0
2024-12-26,UAH,UAH,1.0
2024-12-27,UAH,UAH,1.0
2024-12-28,UAH,UAH,1.0
2024-12-29,UAH,UAH,1.0
2024-12-30,UAH,UAH,1.0
2024-12-31,UAH,UAH,1.0
2025-01-01,UAH,UAH,1.0
2025-01-02,UAH,UAH,1.0
2025-01-03,UAH,UAH,1.0
2025-01-04,UAH,UAH,1.0
2025-01-05,UAH,UAH,1.0
2025-01-06,UAH,UAH,1.0
2025-01-07,UAH,UAH,1.0
2025-01-08,UAH,UAH,1.0
2025-01-09,UAH,UAH,1.0
2025-01-10,UAH,UAH,1.0
2025-01-11,UAH,UAH,1.0
2025-01-12,UAH,UAH,1.0
2025-01-13,UAH,UAH,1.0
2025-01-14,UAH,UAH,1.0
2025-01-15,UAH,UAH,1.0
2025-01-16,UAH,UAH,1.0
2025-01-17,UAH,UAH,1.0
2025-01-18,UAH,UAH,1.0
2025-01-19,UAH,UAH,1.0
2025-01-20,UAH,UAH,1.0
2025-01-21,UAH,UAH,1.0
2025-01-22,UAH,UAH,1.0
2025-01-23,UAH,UAH,1.0
2025-01-24,UAH,UAH,1.0
2025-01-25,UAH,UAH,1.0
2025-01-26,UAH,UAH,1.0
2025-01-27,UAH,UAH,1.0
2025-01-28,UAH,UAH,1.0
2025-01-29,UAH,UAH,1.0
2025-01-30,UAH,UAH,1.0
2025-01-31,UAH,UAH,1.0
2025-02-01,UAH,UAH,1.0
2025-02-02,UAH,UAH,1.0
2025-02-03,UAH,UAH,1.0
2025-02-04,UAH,UAH,1.0
2025-02-05,UAH,UAH,1.0
2025-02-06,UAH,UAH,1.0
2025-02-07,UAH,UAH,1.0
2025-02-08,UAH,UAH,1.0
2025-02-09,UAH,UAH,1.0
2025-02-10,UAH,UAH,1.0
2025-02-11,UAH,UAH,1.0
2025-02-12,UAH,UAH,1.0
2025-02-13,UAH,UAH,1.0
2025-02-14,UAH,UAH,1.0
2025-02-15,UAH,UAH,1.0
2025-02-16,UAH,UAH,1.0
2025-02-17,UAH,UAH,1.0
2025-02-18,UAH,UAH,1.0
2025-02-19,UAH,UAH,1.0
2025-02-20,UAH,UAH,1.0
2025-02-21,UAH,UAH,1.0
2025-02-22,UAH,UAH,1.0
2025-02-23,UAH,UAH,1.0
2025-02-24,UAH,UAH,1.0
2025-02-25,UAH,UAH,1.0
2025-02-26,UAH,UAH,1.0
2025-02-27,UAH,UAH,1.0
2025-02-28,UAH,UAH,1.0
2025-03-01,UAH,UAH,1.0
2025-03-02,UAH,UAH,1.0
2025-03-03,UAH,UAH,1.0
2025-03-04,UAH,UAH,1.0
2025-03-05,UAH,UAH,1.0
2025-03-06,UAH,UAH,1.0
2025-03-07,UAH,UAH,1.0
2025-03-08,UAH,UAH,1.0
2025-03-09,UAH,UAH,1.0
2025-03-10,UAH,UAH,1.0
2025-03-11,UAH,UAH,1.0
2025-03-12,UAH,UAH,1.0
2025-03-13,UAH,UAH,1.0
2025-03-14,UAH,UAH,1.0
2025-03-15,UAH,UAH,1.0
2025-03-16,UAH,UAH,1.0
2025-03-17,UAH,UAH,1.0
2025-03-18,UAH,UAH,1.0
2025-03-19,UAH,UAH,1.0
2025-03-20,UAH,UAH,1.0
2025-03-21,UAH,UAH,1.0
2025-03-22,UAH,UAH,1.0
2025-03-23,UAH,UAH,1.0
2025-03-24,UAH,UAH,1.0
2025-03-25,UAH,UAH,1.0
2025-03-26,UAH,UAH,1.0
2025-03-27,UAH,UAH,1.0
2025-03-28,UAH,UAH,1.0
2025-03-29,UAH,UAH,1.0
2025-03-30,UAH,UAH,1.0
2025-03-31,UAH,UAH,1.0
2025-04-01,UAH,UAH,1.0
2025-04-02,UAH,UAH,1.0
2025-04-03,UAH,UAH,1.0
2025-04-04,UAH,UAH,1.0
2025-04-05,UAH,UAH,1.0
2025-04-06,UAH,UAH,1.0
2025-04-07,UAH,UAH,1.0
2025-04-08,UAH,UAH,1.0
2025-04-09,UAH,UAH,1.0
2025-04-10,UAH,UAH,1.0
2025-04-11,UAH,UAH,1.0
2025-04-12,UAH,UAH,1.0
2025-04-13,UAH,UAH,1.0
2025-04-14,UAH,UAH,1.0
2025-04-15,UAH,UAH,1.0
2025-04-16,UAH,UAH,1.0
2025-04-17,UAH,UAH,1.0
2025-04-18,UAH,UAH,1.0
2025-04-19,UAH,UAH,1.0
2025-04-20,UAH,UAH,1.0
2025-04-21,UAH,UAH,1.0
2025-04-22,UAH,UAH,1.0
2025-04-23,UAH,UAH,1.0
2025-04-24,UAH,UAH,1.0
2025-04-25,UAH,UAH,1.0
2025-04-26,UAH,UAH,1.0
2025-04-27,UAH,UAH,1.0
2025-04-28,UAH,UAH,1.0
2025-04-29,UAH,UAH,1.0
2025-04-30,UAH,UAH,1.0
2025-05-01,UAH,UAH,1.0
2025-05-02,UAH,UAH,1.0
2025-05-03,UAH,UAH,1.0
2025-05-04,UAH,UAH,1.0
2025-05-05,UAH,UAH,1.0
2025-05-06,UAH,UAH,1.0
2025-05-07,UAH,UAH,1.0
2025-05-08,UAH,UAH,1.0
2025-05-09,UAH,UAH,1.0
2025-05-10,UAH,UAH,1.0
2025-05-11,UAH,UAH,1.0
2025-05-12,UAH,UAH,1.0
2025-05-13,UAH,UAH,1.0
2025-05-14,UAH,UAH,1.0
2025-05-15,UAH,UAH,1.0
2025-05-16,UAH,UAH,1.0
2025-05-17,UAH,UAH,1.0
2025-05-18,UAH,UAH,1.0
2025-05-19,UAH,UAH,1.0
2025-05-20,UAH,UAH,1.0
2025-05-21,UAH,UAH,1.0
2025-05-22,UAH,UAH,1.0
2025-05-23,UAH,UAH,1.0
2025-05-24,UAH,UAH,1.0
2025-05-25,UAH,UAH,1.0
2025-05-26,UAH,UAH,1.0
2025-05-27,UAH,UAH,1.0
2025-05-28,UAH,UAH,1.0
2025-05-29,UAH,UAH,1.0
2025-05-30,UAH,UAH,1.0
2025-05-31,UAH,UAH,1.0
2025-06-01,UAH,UAH,1.0
2025-06-02,UAH,UAH,1.0
2025-06-03,UAH,UAH,1.0
2025-06-04,UAH,UAH,1.0
2025-06-05,UAH,UAH,1.0
2025-06-06,UAH,UAH,1.0
2025-06-07,UAH,UAH,1.0
2025-06-08,UAH,UAH,1.0
2025-06-09,UAH,UAH,1.0
2025-06-10,UAH,UAH,1.0
2025-06-11,UAH,UAH,1.0
2025-06-12,UAH,UAH,1.0
2025-06-13,UAH,UAH,1.0
2025-06-14,UAH,UAH,1.0
2025-06-15,UAH,UAH,1.0
2025-06-16,UAH,UAH,1.0
2025-06-17,UAH,UAH,1.0
2025-06-18,UAH,UAH,1.0
2025-06-19,UAH,UAH,1.0
2025-06-20,UAH,UAH,1.0
2025-06-21,UAH,UAH,1.0
2025-06-22,UAH,UAH,1.0
2025-06-23,UAH,UAH,1.0
2025-06-24,UAH,UAH,1.0
2025-06-25,UAH,UAH,1.0
2025-06-26,UAH,UAH,1.0
2025-06-27,UAH,UAH,1.0
2025-06-28,UAH,UAH,1.0
2025-06-29,UAH,UAH,1.0
2025-06-30,UAH,UAH,1.0
2025-07-01,UAH,UAH,1.0
2025-07-02,UAH,UAH,1.0
2025-07-03,UAH,UAH,1.0
2025-07-04,UAH,UAH,1.0
2025-07-05,UAH,UAH,1.0
2025-07-06,UAH,UAH,1.0
2025-07-07,UAH,UAH,1.0
2025-07-08,UAH,UAH,1.0
2025-07-09,UAH,UAH,1.0
2025-07-10,UAH,UAH,1.0
2025-07-11,UAH,UAH,1.0
2025-07-12,UAH,UAH,1.0
2025-07-13,UAH,UAH,1.0
2025-07-14,UAH,UAH,1.0
2025-07-15,UAH,UAH,1.0
2025-07-16,UAH,UAH,1.0
2025-07-17,UAH,UAH,1.0
2025-07-18,UAH,UAH,1.0
2025-07-19,UAH,UAH,1.0
2025-07-20,UAH,UAH,1.0
2025-07-21,UAH,UAH,1.0
2025-07-22,UAH,UAH,1.0
2025-07-23,UAH,UAH,1.0
2025-07-24,UAH,UAH,1.0
2025-07-25,UAH,UAH,1.0
2025-07-26,UAH,UAH,1.0
2025-07-27,UAH,UAH,1.0
2025-07-28,UAH,UAH,1.0
2025-07-29,UAH,UAH,1.0
2025-07-30,UAH,UAH,1.0
2025-07-31,UAH,UAH,1.0
2025-08-01,UAH,UAH,1.0
2025-08-02,UAH,UAH,1.0
2025-08-03,UAH,UAH,1.0
2025-08-04,UAH,UAH,1.0
2025-08-05,UAH,UAH,1.0
2025-08-06,UAH,UAH,1.0
2025-08-07,UAH,UAH,1.0
2025-08-08,UAH,UAH,1.0
2025-08-09,UAH,UAH,1.0
2025-08-10,UAH,UAH,1.0
2025-08-11,UAH,UAH,1.0
2025-08-12,UAH,UAH,1.0
2025-08-13,UAH,UAH,1.0
2025-08-14,UAH,UAH,1.0
2025-08-15,UAH,UAH,1.0
2025-08-16,UAH,UAH,1.0
2025-08-17,UAH,UAH,1.0
2025-08-18,UAH,UAH,1.0
2025-08-19,UAH,UAH,1.0
2025-08-20,UAH,UAH,1.0
2025-08-21,UAH,UAH,1.0
2025-08-22,UAH,UAH,1.0
2025-08-23,UAH,UAH,1.0
2025-08-24,UAH,UAH,1.0
2025-08-25,UAH,UAH,1.0
2025-08-26,UAH,UAH,1.0
2025-08-27,UAH,UAH,1.0
2025-08-28,UAH,UAH,1.0
2025-08-29,UAH,UAH,1.0
2025-08-30,UAH,UAH,1.0
2025-08-31,UAH,UAH,1.0
2025-09-01,UAH,UAH,1.0
2025-09-02,UAH,UAH,1.0
2025-09-03,UAH,UAH,1.0
2025-09-04,UAH,UAH,1.0
2025-09-05,UAH,UAH,1.0
2025-09-06,UAH,UAH,1.0
2025-09-07,UAH,UAH,1.0
2025-09-08,UAH,UAH,1.0
2025-09-09,UAH,UAH,1.0
2025-09-10,UAH,UAH,1.0
2025-09-11,UAH,UAH,1.0
2025-09-12,UAH,UAH,1.0
2025-09-13,UAH,UAH,1.0
2025-09-14,UAH,UAH,1.0
2025-09-15,UAH,UAH,1.0
2025-09-16,UAH,UAH,1.0
2025-09-17,UAH,UAH,1.0
2025-09-18,UAH,UAH,1.0
2025-09-19,UAH,UAH,1.0
2025-09-20,UAH,UAH,1.0
2025-09-21,UAH,UAH,1.0
2025-09-22,UAH,UAH,1.0
2025-09-23,UAH,UAH,1.0
2025-09-24,UAH,UAH,1.0
2025-09-25,UAH,UAH,1.0
2025-09-26,UAH,UAH,1.0
2025-09-27,UAH,UAH,1.0
2025-09-28,UAH,UAH,1.0
2025-09-29,UAH,UAH,1.0
2025-09-30,UAH,UAH,1.0
2025-10-01,UAH,UAH,1.0
2025-10-02,UAH,UAH,1.0
2025-10-03,UAH,UAH,1.0
2025-10-04,UAH,UAH,1.0
2025-10-05,UAH,UAH,1.0
2025-10-06,UAH,UAH,1.0
2025-10-07,UAH,UAH,1.0
2025-10-08,UAH,UAH,1.0
2025-10-09,UAH,UAH,1.0
2025-10-10,UAH,UAH,1.0
2025-10-11,UAH,UAH,1.0
2025-10-12,UAH,UAH,1.0
2025-10-13,UAH,UAH,1.0
2025-10-14,UAH,UAH,1.0
2025-10-15,UAH,UAH,1.0
2025-10-16,UAH,UAH,1.0
2025-10-17,UAH,UAH,1.0
2025-10-18,UAH,UAH,1.0
2025-10-19,UAH,UAH,1.0
2025-10-20,UAH,UAH,1.0
2025-10-21,UAH,UAH,1.0
2025-10-22,UAH,UAH,1.0
2025-10-23,UAH,UAH,1.0
2025-10-24,UAH,UAH,1.0
2025-10-25,UAH,UAH,1.0
2025-10-26,UAH,UAH,1.0
2025-10-27,UAH,UAH,1.0
2025-10-28,UAH,UAH,1.0
2025-10-29,UAH,UAH,1.0
2025-10-30,UAH,UAH,1.0
2025-10-31,UAH,UAH,1.0
2025-11-01,UAH,UAH,1.0
2025-11-02,UAH,UAH,1.0
2025-11-03,UAH,UAH,1.0
2025-11-04,UAH,UAH,1.0
2025-11-05,UAH,UAH,1.0
2025-11-06,UAH,UAH,1.0
2025-11-07,UAH,UAH,1.0
2025-11-08,UAH,UAH,1.0
2025-11-09,UAH,UAH,1.0
2025-11-10,UAH,UAH,1.0
2025-11-11,UAH,UAH,1.0
2025-11-12,UAH,UAH,1.0
2025-11-13,UAH,UAH,1.0
2025-11-14,UAH,UAH,1.0
2025-11-15,UAH,UAH,1.0
2025-11-16,UAH,UAH,1.0
2025-11-17,UAH,UAH,1.0
2025-11-18,UAH,UAH,1.0
2025-11-19,UAH,UAH,1.0
2025-11-20,UAH,UAH,1.0
2025-11-21,UAH,UAH,1.0
2025-11-22,UAH,UAH,1.0
2025-11-23,UAH,UAH,1.0
2025-11-24,UAH,UAH,1.0
2025-11-25,UAH,UAH,1.0
2025-11-26,UAH,UAH,1.0
2025-11-27,UAH,UAH,1.0
2025-11-28,UAH,UAH,1.0
2025-11-29,UAH,UAH,1.0
2025-11-30,UAH,UAH,1.0
2025-12-01,UAH,UAH,1.0
2025-12-02,UAH,UAH,1.0
2025-12-03,UAH,UAH,1.0
2025-12-04,UAH,UAH,1.0
2025-12-05,UAH,UAH,1.0
2025-12-06,UAH,UAH,1.0
2025-12-07,UAH,UAH,1.0
2025-12-08,UAH,UAH,1.0
2025-12-09,UAH,UAH,1.0
2025-12-10,UAH,UAH,1.0
2025-12-11,UAH,UAH,1.0
2025-12-12,UAH,UAH,1.0
2025-12-13,UAH,UAH,1.0
2025-12-14,UAH,UAH,1.0
2025-12-15,UAH,UAH,1.0
2025-12-16,UAH,UAH,1.0
2025-12-17,UAH,UAH,1.0
2025-12-18,UAH,UAH,1.0
2025-12-19,UAH,UAH,1.0
2025-12-20,UAH,UAH,1.0
2025-12-21,UAH,UAH,1.0
2025-12-22,UAH,UAH,1.0
2025-12-23,UAH,UAH,1.0
2025-12-24,UAH,UAH,1.0
2025-12-25,UAH,UAH,1.0
2025-12-26,UAH,UAH,1.0
2025-12-27,UAH,UAH,1.0
2025-12-28,UAH,UAH,1.0
2025-12-29,UAH,UAH,1.0
2025-12-30,UAH,UAH,1.0
2025-12-31,UAH,UAH,1.0
2024-01-01,EUR,UAH,44.861
2024-01-02,EUR,UAH,44.547
2024-01-03,EUR,UAH,44.4768
