Date,Source,Medium,Campaign,Country,DeviceType,Impressions,Clicks,Sessions,LeadsReported,Spend,Currency,SpendBaseCurrency,PlatformConversions,CampaignObjective,CampaignStatus,CampaignNormalized,SpendBaseCurrencyUnresolvedFlag,ClicksImpressionsAnomalyFlag
2024-01-18,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,945,37,29,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-19,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3356,158,136,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-20,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,3785,152,128,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-21,google,cpc,Search - QA - Ukraine,United Kingdom,Desktop,1232,42,38,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-22,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2743,123,119,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-23,google,cpc,Search - QA - Ukraine,United States,Mobile,578,31,25,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-24,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2491,155,126,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-25,google,cpc,Search - QA - Ukraine,Germany,Mobile,4702,237,227,5,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-26,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,315,1,0,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-27,google,cpc,Search - QA - Ukraine,Kazakhstan,Mobile,1467,59,54,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-28,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2662,119,101,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-01-29,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,3947,222,210,7,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-30,google,cpc,Search - QA - Ukraine,Germany,Mobile,4807,305,257,7,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-01-31,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2321,83,64,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-01,google,cpc,Search - QA - Ukraine,Poland,Mobile,1314,63,60,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-02,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,553,27,25,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-03,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,992,48,38,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-04,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2309,148,122,4,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-02-05,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2149,92,87,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-06,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,311,17,13,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-07,google,cpc,Search - QA - Ukraine,Germany,Mobile,3802,196,189,5,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-02-08,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3279,110,102,4,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-09,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1226,65,60,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-10,google,cpc,Search - QA - Ukraine_copy,Ukraine,Desktop,1888,67,57,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-11,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1935,131,110,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-12,google,cpc,Search - QA - Ukraine,United Kingdom,Mobile,3576,228,192,5,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-02-13,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,3912,154,119,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-14,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2595,60,57,2,,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-15,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2122,56,53,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-16,google,cpc,Search - QA - Ukraine,Germany,Mobile,3957,241,209,5,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-02-17,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1262,56,45,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-18,google,cpc,Search - QA - Ukraine,Germany,Mobile,451,24,23,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-19,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1893,79,75,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-20,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3654,202,151,3,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-02-21,google,cpc,Search - QA - Ukraine,United Kingdom,Desktop,3013,159,123,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-22,google,cpc,Search - QA - Ukraine,United Kingdom,Mobile,2483,123,116,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-23,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2474,113,106,4,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-24,google,cpc,Search - QA - Ukraiine,Ukraine,Desktop,1249,57,54,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-25,google,cpc,Search - QA - Ukraine,Germany,Mobile,1654,76,71,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-26,google,cpc,Search - QA - Ukraine,United States,Desktop,1168,47,42,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-27,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,457,21,19,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-28,google,cpc,Search - QA - Ukraine,Germany,Tablet,3933,212,183,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-02-29,google,cpc,Search - QA - Ukraine,Germany,Mobile,4032,275,210,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-01,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,2732,121,95,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-02,google,cpc,Search - QA - Ukraine,Germany,Desktop,3238,168,133,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-03,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1629,108,93,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-04,google,cpc,Search - QA - Ukraine,United States,Mobile,901,23,22,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-05,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,411,23,22,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-06,google,cpc,Search - QA - Ukraine_copy,Ukraine,Desktop,4320,209,166,4,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-07,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,4888,175,164,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-08,google,cpc,Search - QA - Urkaine,United Kingdom,Mobile,6028,297,226,5,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-03-09,google,cpc,Search - QA - Ukraine,Kazakhstan,Desktop,2964,101,96,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-10,google,cpc,Search - QA - Ukraine,United States,Mobile,1157,48,45,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-11,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2568,132,128,4,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-03-12,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4201,180,135,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-13,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2671,60,52,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-14,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,1957,89,76,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-15,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1938,78,64,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-16,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2725,92,77,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-17,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2765,138,121,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-18,google,cpc,Search - QA - Ukraine,Poland,Desktop,519,26,23,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-19,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2068,95,82,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-20,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,3549,117,94,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-21,google,cpc,Search - QA - Ukraine,Czech Republic,Desktop,913,45,38,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-22,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,652,21,16,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-23,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2032,107,102,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-24,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1203,70,60,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-25,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3374,202,153,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-26,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2440,127,118,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-27,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3864,178,169,4,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-03-28,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,647,31,27,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-29,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3009,187,149,4,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-03-30,google,cpc,Search - QA - Ukraine,United Kingdom,Mobile,817,44,37,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-03-31,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,1114,40,31,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-01,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3688,103,82,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-02,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,2342,115,90,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-03,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,711,24,21,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-04,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1005,35,27,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-05,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3184,163,137,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-06,google,cpc,Search - QA - Ukraine,United Kingdom,Desktop,906,45,41,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-07,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,857,41,36,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-08,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1272,66,52,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-09,google,cpc,Search  - QA - Ukraine,Ukraine,Mobile,565,15,13,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-10,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2577,124,100,3,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-04-11,google,cpc,Search - QA - Ukraine,Poland,Mobile,2261,71,55,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-12,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,2712,149,120,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-13,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1119,41,36,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-14,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2350,124,119,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-15,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1946,92,88,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-16,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2773,168,141,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-17,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1897,79,67,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-18,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,2923,157,138,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-19,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1353,84,71,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-20,google,cpc,SEARCH - QA - UKRAINE,Ukraine,Mobile,1748,92,87,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-21,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,831,36,29,1,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-22,google,cpc,Search - QA - Ukraine_copy,Ukraine,Mobile,2503,90,69,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-23,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2909,182,142,3,,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-24,google,cpc,Search - QA - Ukraine,Czech Republic,Desktop,2410,111,92,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-25,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2158,131,117,4,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-26,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,3701,133,123,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-27,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1306,34,26,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-28,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,2386,95,86,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-29,google,cpc,Search - QA - Ukraine,United States,Desktop,485,28,23,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-04-30,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,3062,114,107,3,0.0,UAH,0.0,1,Conversions,Paused,search - qa - ukraine,False,False
2024-05-01,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,2846,116,89,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-05-02,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,180,6,5,0,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-05-03,google,cpc,Search - QA - Ukraine,Czech Republic,Desktop,1596,121,116,3,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-05-04,google,cpc,Search - QA - Ukraine,Germany,Mobile,2154,74,56,2,0.0,UAH,0.0,0,Conversions,Paused,search - qa - ukraine,False,False
2024-05-05,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2710,125,104,2,1148.15,UAH,1148.15,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-06,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,7124,331,260,6,3841.24,UAH,3841.24,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-07,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3090,177,164,3,1915.79,UAH,1915.79,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-08,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3077,161,137,4,2117.14,UAH,2117.14,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-09,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4521,129,102,3,2027.83,UAH,2027.83,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-10,google,cpc,Search - QA - Ukraine,United States,Mobile,3156,180,164,4,3266.43,UAH,3266.43,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-11,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4600,126,122,3,2083.07,UAH,2083.07,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-12,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,8747,373,314,9,2879.98,UAH,2879.98,2,Conversions,Active,search - qa - ukraine,False,False
2024-05-13,google,cpc,Search - QA - Ukraine,United Kingdom,Mobile,11674,388,337,12,2730.9,UAH,2730.9,2,Conversions,Active,search - qa - ukraine,False,False
2024-05-14,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2936,158,126,2,1700.74,UAH,1700.74,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-15,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,4305,250,196,6,3243.71,UAH,3243.71,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-16,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,5530,213,170,6,3855.03,UAH,3855.03,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-17,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4886,235,208,7,2403.22,UAH,2403.22,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-18,google,cpc,Search - QA - Ukraine,Germany,Desktop,3788,156,144,3,1873.99,UAH,1873.99,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-19,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1816,73,61,2,1102.58,UAH,1102.58,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-20,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,5394,191,170,3,2744.33,UAH,2744.33,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-21,google,cpc,Search - QA - Ukraine,Germany,Desktop,3275,191,172,4,1739.23,UAH,1739.23,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-22,google,cpc,Search - QA - Ukraie,Ukraine,Desktop,8531,213,182,4,1888.41,UAH,1888.41,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-23,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,26241,215,181,5,3347.54,UAH,3347.54,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-24,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,12446,275,266,6,2527.14,UAH,2527.14,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-25,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,1681,69,52,1,1152.06,UAH,1152.06,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-26,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,1871,118,109,2,1893.14,UAH,1893.14,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-27,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,4779,234,210,4,4247.65,UAH,4247.65,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-28,google,cpc,Search - QA - Ukraine,Germany,Mobile,7789,270,215,6,3107.45,UAH,3107.45,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-29,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,8044,445,433,5,3525.3,UAH,3525.3,1,Conversions,Active,search - qa - ukraine,False,False
2024-05-30,google,cpc,Search - QA - Ukraine,United States,Desktop,2094,127,123,3,1750.33,UAH,1750.33,0,Conversions,Active,search - qa - ukraine,False,False
2024-05-31,google,cpc,Search - QA - Ukraine,United States,Mobile,4572,225,205,2,3875.15,UAH,3875.15,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-01,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4350,155,132,3,2306.36,UAH,2306.36,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-02,google,cpc,Search - QA - Ukraine,Ukraine,Tablet,1527,75,72,1,1097.05,UAH,1097.05,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-03,google,cpc,Search - QA - Ukraine,United States,Mobile,1338,87,65,2,1414.13,UAH,1414.13,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-04,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,9091,245,190,6,2320.75,UAH,2320.75,1,Conversions,Active,search - qa - ukraine,False,False
2024-06-05,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,3411,117,100,3,1349.9,UAH,1349.9,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-06,google,cpc,Search - QA - Ukraine,Poland,Mobile,7381,259,248,5,3115.86,UAH,3115.86,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-07,google,cpc,Search - QA - Ukraine,United Kingdom,Mobile,5931,245,225,5,2224.65,UAH,2224.65,1,Conversions,Active,search - qa - ukraine,False,False
2024-06-08,google,cpc,Search - QA - Ukraine,Czech Republic,Mobile,2884,129,119,1,1486.18,UAH,1486.18,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-09,google,cpc,Search - QA - Ukraine,Germany,Mobile,1128,63,54,1,670.69,UAH,670.69,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-10,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,1839,89,81,1,915.17,UAH,915.17,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-11,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,2618,184,179,4,3108.83,UAH,3108.83,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-12,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,6344,253,211,4,2072.87,UAH,2072.87,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-13,google,cpc,Search - QA - Ukraine,Ukraine,Mobile,4277,310,272,5,2669.53,UAH,2669.53,1,Conversions,Active,search - qa - ukraine,False,False
2024-06-14,google,cpc,Search - QA - Ukraine,Poland,Desktop,4074,182,162,4,3058.46,UAH,3058.46,0,Conversions,Active,search - qa - ukraine,False,False
2024-06-15,google,cpc,Search - QA - Ukraine,Ukraine,Desktop,4457,141,110,2,1311.23,UAH,1311.23,0,Conversions,Active,search - qa - ukraine,False,False
